ModuleEigengene	mgi_symbol	ensembl_gene_id	logFC_AMY_FENT	logFC_AMY_F_FENT	logFC_AMY_M_FENT	P.Value_AMY_FENT	P.Value_AMY_F_FENT	P.Value_AMY_M_FENT
ME66	Scn4a	ENSMUSG00000001027	0.102748949	0.263156809	-0.057658912	0.740186122	0.548565626	0.895273895
ME45	Nhp2	ENSMUSG00000001056	0.085648036	0.149373077	0.021922995	0.402469891	0.302591736	0.879212346
ME57	Snrnp200	ENSMUSG00000003660	-0.044761921	-0.080584608	-0.008939234	0.567871549	0.467530037	0.935625836
ME64	Atp1a4	ENSMUSG00000007107	0.166803585	-0.147317298	0.480924468	0.306315965	0.521797222	0.039641357
ME13	Rplp1	ENSMUSG00000007892	-0.144740033	-0.390405339	0.100925272	0.141214512	0.006097684	0.465107875
ME46	Rdh13	ENSMUSG00000008435	0.12784753	0.172546145	0.083148914	0.063291976	0.075966516	0.387622509
ME70	Nedd8	ENSMUSG00000010376	0.026822461	0.009685518	0.043959405	0.764907401	0.939114496	0.728959783
ME32	Psmb1	ENSMUSG00000014769	-0.071463815	-0.140623544	-0.002304085	0.349552932	0.194576573	0.982922069
ME52	Nkap	ENSMUSG00000016409	-0.035971215	-0.007070108	-0.064872322	0.687107388	0.955328264	0.607655714
ME11	Mrm1	ENSMUSG00000018405	0.193148674	0.159643964	0.226653383	0.105214955	0.340197883	0.177369797
ME3	Ubb	ENSMUSG00000019505	0.120223277	-0.04242775	0.282874304	0.177134682	0.73443214	0.026687588
ME76	Smpd2	ENSMUSG00000019822	-0.299124205	-0.372945701	-0.225302709	0.030277088	0.05507696	0.241877014
ME74	Timm22	ENSMUSG00000020843	0.068277465	0.059248596	0.077306333	0.472757921	0.659095012	0.565096225
ME8	Ankrd40	ENSMUSG00000020864	-0.081416515	-0.001306564	-0.161526466	0.379224341	0.992012579	0.218802643
ME36	Eftud2	ENSMUSG00000020929	-0.008872539	-0.018265932	0.000520854	0.899989202	0.854849509	0.995837362
ME53	Trappc6b	ENSMUSG00000020993	-0.185711549	-0.284905717	-0.086517381	0.012359511	0.00689849	0.398752736
ME24	Srek1ip1	ENSMUSG00000021716	-0.14694556	-0.120228	-0.17366312	0.16110596	0.41494327	0.24039719
ME63	Nptx1	ENSMUSG00000025582	-0.005015042	0.101100885	-0.111130968	0.977036259	0.681780337	0.652243759
ME60	Dab2ip	ENSMUSG00000026883	-0.125719178	0.016236221	-0.267674577	0.119173559	0.885689512	0.020518564
ME28	Chrna4	ENSMUSG00000027577	0.391076512	0.464703914	0.31744911	0.011456595	0.032270331	0.139501451
ME55	Eloa	ENSMUSG00000028668	-0.065438861	-0.003788288	-0.127089435	0.334549337	0.968366287	0.186621455
ME48	Phc2	ENSMUSG00000028796	-0.116904756	0.176180206	-0.409989718	0.351874809	0.321404396	0.023391157
ME9	Kcnab2	ENSMUSG00000028931	0.110922484	0.178666686	0.043178282	0.365251455	0.302932357	0.802576361
ME19	Stk32b	ENSMUSG00000029123	0.520025534	0.596571231	0.443479838	0.001868281	0.01054158	0.054292939
ME43	D5Ertd579e	ENSMUSG00000029190	-0.122749711	-0.078968306	-0.166531115	0.078884158	0.419283457	0.091521086
ME61	Cit	ENSMUSG00000029516	-0.110581085	0.05818644	-0.279348611	0.257400026	0.672028448	0.045521036
ME7	Col1a2	ENSMUSG00000029661	-0.429574985	0.046624802	-0.905774773	0.192047985	0.919677214	0.05380638
ME37	Timp4	ENSMUSG00000030317	-0.075746342	-0.114272941	-0.037219742	0.472682278	0.443775109	0.802593051
ME5	Aldoa	ENSMUSG00000030695	0.137404167	0.100045869	0.174762466	0.038794513	0.28101315	0.062222875
ME35	Atg12	ENSMUSG00000032905	0.081552558	-0.043798965	0.206904081	0.240178262	0.6539525	0.03745373
ME59	Tmem132c	ENSMUSG00000034324	0.317821623	0.466857619	0.168785627	0.007421961	0.005528221	0.30209025
ME75	Wnk4	ENSMUSG00000035112	-0.020326352	0.002642187	-0.043294892	0.92097042	0.992723832	0.881224358
ME41	C1qb	ENSMUSG00000036905	0.481429083	0.195296475	0.767561691	0.003331342	0.383856994	0.00104267
ME14	Stox2	ENSMUSG00000038143	-0.02048783	-0.035919861	-0.005055799	0.755493233	0.699519303	0.95664868
ME1	Ino80d	ENSMUSG00000040865	-0.287544796	-0.069106239	-0.505983353	0.010367412	0.654431769	0.001666001
ME51	Rusc1	ENSMUSG00000041263	0.060717574	0.099671575	0.021763573	0.384731604	0.313534733	0.825119224
ME67	Pelo	ENSMUSG00000042275	0.029620022	0.166386114	-0.10714607	0.747431557	0.203745745	0.411241184
ME65	Sem1	ENSMUSG00000042541	-0.118960748	-0.138930275	-0.09899122	0.180239861	0.267321459	0.428133472
ME26	Zfp507	ENSMUSG00000044452	-0.065299829	0.041427146	-0.172026804	0.269358101	0.618807723	0.042131495
ME4	Sowahb	ENSMUSG00000045314	-0.232162047	0.098257836	-0.56258193	0.464822628	0.826498727	0.2123879
ME49	Frrs1l	ENSMUSG00000045589	-0.026876448	0.062624969	-0.116377864	0.646463792	0.450495018	0.163278744
ME27	Fam187b	ENSMUSG00000046826	-0.088452743	-0.125836188	-0.051069299	0.663051588	0.661172447	0.858724462
ME18	Vstm2a	ENSMUSG00000048834	0.270244315	0.186954305	0.353534326	0.000623657	0.082315855	0.001441879
ME23	Casr	ENSMUSG00000051980	0.521916559	0.056353284	0.987479834	0.147349598	0.911133181	0.054194401
ME58	Ces1d	ENSMUSG00000056973	-0.580643024	0.309713005	-1.470999053	0.190540797	0.619341219	0.020945966
ME12	Myh4	ENSMUSG00000057003	-1.427643097	-1.215358145	-1.63992805	0.00018272	0.019415328	0.001946763
ME2	Scn3a	ENSMUSG00000057182	0.059460208	0.03322577	0.085694645	0.648929417	0.857142131	0.642701658
ME34	Pyroxd2	ENSMUSG00000060224	-0.377536363	0.031890617	-0.786963342	0.216200421	0.940735486	0.070398159
ME42	Adgrg5	ENSMUSG00000061577	0.027386351	0.097249279	-0.042476577	0.898573356	0.749015308	0.888824665
ME71	B9d2	ENSMUSG00000063439	-0.012075123	-0.023139336	-0.001010911	0.929258425	0.90425177	0.995806627
ME73	Klhdc3	ENSMUSG00000063576	-0.060120334	-0.074528237	-0.045712432	0.347184643	0.409519998	0.612318662
ME22	mt-Nd2	ENSMUSG00000064345	-0.057614443	-0.108050251	-0.007178635	0.800025101	0.736981046	0.982189478
ME29	Snord15b	ENSMUSG00000064966	-0.193424865	0.288001587	-0.674851317	0.754049481	0.7415145	0.440517376
ME25	Aurkaip1	ENSMUSG00000065990	0.052813983	-0.153303903	0.25893187	0.515994521	0.184953208	0.02714614
ME20	Bmpr2	ENSMUSG00000067336	0.075971107	0.087575423	0.064366792	0.09008712	0.165394048	0.306145551
ME30	Mfap1a	ENSMUSG00000068479	-0.000700354	-0.075207336	0.073806627	0.991990749	0.447033701	0.455501275
ME56	Ccnb1ip1	ENSMUSG00000071470	-0.181936795	-0.386414228	0.022540637	0.4360137	0.243572787	0.945456461
ME10	Tmem88b	ENSMUSG00000073680	0.15777523	0.065968306	0.249582154	0.353278367	0.783044841	0.299568059
ME21	Gm13772	ENSMUSG00000080977	0.158852445	-0.143897368	0.461602258	0.158048093	0.363501813	0.004698565
ME44	Gm11676	ENSMUSG00000082448	0.156800522	0.249987128	0.063613915	0.379771982	0.3225199	0.800484032
ME16	Oip5os1	ENSMUSG00000085438	-0.252027436	0.068541729	-0.572596601	0.178297205	0.794272711	0.032586391
ME50	4932702P03Rik	ENSMUSG00000086796	0.377876842	0.314922968	0.440830715	0.15837223	0.403257548	0.24333136
ME62	5330434G04Rik	ENSMUSG00000087620	-0.032205387	0.056607049	-0.121017823	0.836848978	0.798016771	0.584674355
ME15	Dlx6os1	ENSMUSG00000090063	-0.630208904	-0.694313711	-0.566104097	0.164093516	0.27683912	0.374474109
ME33	Gm2007	ENSMUSG00000094932	0.170094798	0.148143666	0.19204593	0.099587099	0.307046533	0.186762588
ME72	Mroh6	ENSMUSG00000098678	-0.20547249	-0.36603545	-0.044909529	0.192743787	0.102270995	0.83935448
ME17	Tigd5	ENSMUSG00000103906	0.598878373	0.662397505	0.535359241	0.12350088	0.22654802	0.327352714
ME31	Gm18646	ENSMUSG00000110446	0.053703805	0.088887341	0.018520269	0.623073732	0.565281602	0.904508201
ME68	Gm47801	ENSMUSG00000112036	0.310447016	0.191068429	0.429825603	0.391992059	0.7087987	0.401943552
ME0	Gm41335	ENSMUSG00000115520	0.015142809	0.216528515	-0.186242898	0.944492689	0.482356628	0.545455243
ME6	Gm5206	ENSMUSG00000115702	0.258115322	-0.408910274	0.925140917	0.161329541	0.117414893	0.000660504
ME40	Gm19082	ENSMUSG00000116531	0.058742116	0.047620199	0.069864033	0.723263311	0.839094095	0.765825103
ME39	Gm7926	ENSMUSG00000117345	-0.141492921	-0.669392369	0.386406527	0.405793793	0.006862587	0.111207011
ME54	Gm10549	ENSMUSG00000118292	-0.097187979	-0.360479957	0.166103999	0.779649956	0.463952197	0.735316858
ME47	Gm22047	ENSMUSG00000119095	-0.486143492	-0.076884403	-0.895402582	0.23857686	0.894537307	0.126324958
