"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000045991","-0.566322799","-0.789593985","-1.012865171","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Onecut2","0.053649814","2.62217E-4","8.31553E-4","Regulator","false","Onecut2"
"ENSMUSG00000045179","-0.110455521","-0.031472886","0.047509748","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Sox3","0.723072077","0.886404287","0.878805572","Regulated","false","Sox3"
"ENSMUSG00000056829","-1.047584911","-1.052402574","-1.057220237","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Foxb2","0.145300729","0.04029334","0.141700783","Regulated","false","Foxb2"
"ENSMUSG00000000247","-0.330780966","-0.550591688","-0.77040241","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Lhx2","0.450172614","0.078642926","0.081780128","Regulated","false","Lhx2"
"ENSMUSG00000026527","-0.284008833","-0.24675141","-0.209493988","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Rgs7","0.021550645","0.00521725","0.0868349","Regulated","false","Rgs7"
"ENSMUSG00000044674","0.002198552","-0.077625443","-0.157449438","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Fzd1","0.988056194","0.455832104","0.286008889","Regulated","false","Fzd1"
"ENSMUSG00000001870","-0.498171344","-0.37576271","-0.253354075","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Ltbp1","0.027524246","0.019046912","0.255105544","Regulated","false","Ltbp1"
"ENSMUSG00000000093","-0.103786344","-0.52743225","-0.951078156","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Tbx2","0.738136187","0.01886997","0.003148116","Regulated","false","Tbx2"
"ENSMUSG00000019803","-1.022398354","-0.756737182","-0.491076009","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Nr2e1","0.037030613","0.029318831","0.309670109","Regulated","false","Nr2e1"
"ENSMUSG00000034384","-0.825136156","-1.151846519","-1.478556882","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Barhl2","0.174953847","0.008770304","0.016815066","Regulated","false","Barhl2"
"ENSMUSG00000025810","-0.312856885","-0.323645187","-0.334433489","transfac_pro-M01553|yetfasco-864|transfac_pro-M02502|transfac_pro-M01468|swissregulon-POU3F1..4.p2|transfac_pro-M02913|taipale-NNAAAATCRATAWN-ONECUT2-DBD","Nrp1","0.141606981","0.033279254","0.116604718","Regulated","false","Nrp1"
