"ensembl_gene_id","logFC_AMY_F_FENT","logFC_AMY_FENT","logFC_AMY_M_FENT","Motif","name","P.Value_AMY_F_FENT","P.Value_AMY_FENT","P.Value_AMY_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000028799","-0.08804998","-0.266741373","-0.445432765","yetfasco-655","Zfp362","0.57952566","0.020184068","0.006539964","Regulator","false","Zfp362"
"ENSMUSG00000024642","0.037845414","-0.013598613","-0.06504264","yetfasco-655","Tle4","0.713007807","0.851669511","0.527749326","Regulated","false","Tle4"
"ENSMUSG00000030660","-0.233115738","-0.246952193","-0.260788649","yetfasco-655","Pik3c2a","0.050959445","0.00411662","0.029634734","Regulated","false","Pik3c2a"
"ENSMUSG00000028445","-0.056310458","-0.08390822","-0.111505981","yetfasco-655","Enho","0.700746239","0.419009309","0.44747201","Regulated","false","Enho"
"ENSMUSG00000034701","-0.550097472","-0.897293316","-1.24448916","yetfasco-655","Neurod1","0.167034642","0.002035007","0.002445582","Regulated","false","Neurod1"
"ENSMUSG00000036139","-0.539334104","-0.285183669","-0.031033233","yetfasco-655","Hoxc9","0.010690668","0.053387205","0.879972899","Regulated","false","Hoxc9"
"ENSMUSG00000038267","0.280359254","0.146447069","0.012534883","yetfasco-655","Slc22a23","0.013145374","0.063838028","0.909387839","Regulated","false","Slc22a23"
"ENSMUSG00000040363","0.026592558","-0.096949868","-0.220492294","yetfasco-655","Bcor","0.818813244","0.240216231","0.061246213","Regulated","false","Bcor"
"ENSMUSG00000078307","0.15748617","0.092225367","0.026964564","yetfasco-655","AI593442","0.34215704","0.430910354","0.870324439","Regulated","false","AI593442"
"ENSMUSG00000019947","0.161312186","-0.027224483","-0.215761153","yetfasco-655","Arid5b","0.240792212","0.778319373","0.118318465","Regulated","false","Arid5b"
"ENSMUSG00000121513","0.04676706","0.044368031","0.041969001","yetfasco-655","Ptprg","0.638871294","0.529252724","0.673602994","Regulated","false","Ptprg"
"ENSMUSG00000039081","-0.170068144","0.04511419","0.260296523","yetfasco-655","Zfp503","0.396342278","0.749708007","0.196034671","Regulated","false","Zfp503"
