ensembl_gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	ModuleEigengene	mgi_symbol
ENSMUSG00000001027	0.184828854263239	-8.50014503228635e-17	1.46447349405202	0.143356175160704	0.478759178470167	-4.42516017711506	ME66	Scn4a
ENSMUSG00000001056	0.175851557673456	4.33680868994202e-17	1.39334275552968	0.163803381293685	0.478759178470167	-4.46435992088118	ME45	Nhp2
ENSMUSG00000003660	-0.168852138488662	4.2934406030426e-17	-1.33788353672561	0.18121656182156	0.48116121587104	-4.49356934814552	ME57	Snrnp200
ENSMUSG00000007107	0.138231179799197	3.00324001778485e-17	1.09526134149567	0.2736467983817	0.54762636261266	-4.60740809493664	ME64	Atp1a4
ENSMUSG00000007892	-0.148106962540741	-3.55618312575245e-17	-1.1735111478674	0.240850099973585	0.519438806597307	-4.57317344999555	ME13	Rplp1
ENSMUSG00000008435	0.0953598377047855	-1.42464165464595e-16	0.755574421929078	0.450069454194957	0.647672792566577	-4.72864596988432	ME46	Rdh13
ENSMUSG00000010376	0.117320756831714	3.64291929955129e-17	0.929579633910764	0.352796882375533	0.631752556812	-4.67210106524773	ME70	Nedd8
ENSMUSG00000014769	-0.244902826152302	1.12757025938492e-17	-1.94046378174086	0.0525838213493141	0.368086749445199	-4.11262506459019	ME32	Psmb1
ENSMUSG00000016409	-0.0160786339028801	-3.03576608295941e-17	-0.127397495727578	0.898649557801955	0.933469807693966	-4.83560574485242	ME52	Nkap
ENSMUSG00000018405	0.149020912006696	-2.08166817117217e-17	1.18075273778651	0.237961415577729	0.519438806597307	-4.56988583708411	ME11	Mrm1
ENSMUSG00000019505	0.113546971529032	-3.81639164714898e-17	0.89967841221001	0.368492338851688	0.644861592990454	-4.68264871053185	ME3	Ubb
ENSMUSG00000019822	-0.321097649946594	-2.88397777881144e-17	-2.54418607540276	0.0110918885478414	0.216957959270962	-3.59052065256577	ME76	Smpd2
ENSMUSG00000020843	0.0913105745444997	-4.74880551548651e-17	0.72349047815137	0.469535557797931	0.655993622942868	-4.73779692840069	ME74	Timm22
ENSMUSG00000020864	-0.183926604193651	8.67361737988404e-19	-1.4573246031649	0.145318028059813	0.478759178470167	-4.4291880938061	ME8	Ankrd40
ENSMUSG00000020929	0.0494122601461582	1.13190706807487e-16	0.391513249128245	0.695495272442358	0.785864687725808	-4.80917687584297	ME36	Eftud2
ENSMUSG00000020993	-0.255247052114865	2.42861286636753e-17	-2.02242525252444	0.0433789885436924	0.35707733587518	-4.04999061520322	ME53	Trappc6b
ENSMUSG00000021716	-0.251694090475436	6.15826833971767e-17	-1.99427370569443	0.0463736799837896	0.35707733587518	-4.07179596990094	ME24	Srek1ip1
ENSMUSG00000025582	-0.00186625696136659	-1.20563281580388e-16	-0.0147871059630056	0.988204762569571	0.988204762569571	-4.83869335625727	ME63	Nptx1
ENSMUSG00000026883	-0.201309681004989	-1.30104260698261e-17	-1.59505772571631	0.110992439898611	0.478759178470167	-4.34811645851958	ME60	Dab2ip
ENSMUSG00000027577	0.230704460107466	-4.18502038579405e-17	1.82796440595673	0.0678311619041807	0.373071390472994	-4.19437773836236	ME28	Chrna4
ENSMUSG00000028668	-0.153683025661651	-3.81639164714898e-17	-1.21769254299797	0.22360730133214	0.519438806597307	-4.55280079610463	ME55	Eloa
ENSMUSG00000028796	-0.0264755539020035	-9.10729824887824e-18	-0.209776482597291	0.833881766973575	0.891790223013406	-4.83024947923178	ME48	Phc2
ENSMUSG00000028931	0.157269375294696	5.63785129692462e-17	1.24610863635597	0.212995247162502	0.519438806597307	-4.539299929732	ME9	Kcnab2
ENSMUSG00000029123	0.320312938696149	-3.58870919092702e-17	2.53796849194513	0.0112896833179991	0.216957959270962	-3.59661407240119	ME19	Stk32b
ENSMUSG00000029190	-0.312689368943157	1.38777878078145e-17	-2.47756387667109	0.0133806401096709	0.216957959270962	-3.65503638836962	ME43	D5Ertd579e
ENSMUSG00000029516	-0.0633372893133943	-1.73472347597681e-17	-0.501846866682755	0.615877721751011	0.72957822422812	-4.79016933088811	ME61	Cit
ENSMUSG00000029661	-0.143699031013237	-2.94902990916057e-17	-1.13858533008122	0.255129113457096	0.530944371248551	-4.58874544103359	ME7	Col1a2
