ensembl_gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	ModuleEigengene	mgi_symbol
ENSMUSG00000002012	-0.046092876	-1.08E-16	-0.458734704	0.646646168	0.850850221	-6.127366442	ME11	Pnck
ENSMUSG00000006782	-0.131087341	4.94E-17	-1.304633546	0.192684466	0.453075849	-5.40998443	ME22	Cnp
ENSMUSG00000009900	-0.187018559	3.47E-19	-1.86128335	0.063356016	0.453075849	-4.562424126	ME12	Wnt3a
ENSMUSG00000019907	-0.117880349	1.09E-16	-1.173192286	0.241339311	0.464114059	-5.566620408	ME3	Ppp1r12a
ENSMUSG00000019986	-0.068540662	9.85E-17	-0.682144031	0.495498838	0.700207346	-6.004783562	ME2	Ahi1
ENSMUSG00000020745	-0.103817666	-7.72E-18	-1.033234855	0.302048964	0.53937315	-5.715136869	ME5	Pafah1b1
ENSMUSG00000022973	-0.122508567	-1.72E-17	-1.219254158	0.223386443	0.464114059	-5.513620778	ME10	Synj1
ENSMUSG00000024513	0.074084573	-2.72E-17	0.737319245	0.461312495	0.700207346	-5.967116892	ME16	Mbd2
ENSMUSG00000025351	0.236117751	5.99E-17	2.349938114	0.019207639	0.240095486	-3.572733961	ME23	Cd63
ENSMUSG00000027273	-0.000125579	-3.34E-17	-0.001249811	0.999003349	0.999003349	-6.228573082	ME4	Snap25
ENSMUSG00000029843	0.165654299	3.61E-17	1.64865771	0.099915699	0.453075849	-4.921349775	ME6	Slc13a4
ENSMUSG00000032328	-0.005484568	1.86E-17	-0.054584609	0.956493626	0.996347527	-6.227140888	ME21	Tmem30a
ENSMUSG00000032340	0.080126882	3.40E-17	0.797454714	0.42560757	0.700207346	-5.922729037	ME24	Neo1
ENSMUSG00000035594	0.17302224	2.53E-17	1.721986402	0.085759146	0.453075849	-4.802478787	ME19	Chrna5
ENSMUSG00000036634	0.012831784	-1.32E-17	0.127707032	0.898437873	0.976562906	-6.220730175	ME7	Mag
ENSMUSG00000038642	0.355941942	-1.21E-18	3.542476292	0.000437778	0.010944452	-0.193217159	ME20	Ctss
ENSMUSG00000056342	-0.151098513	-2.03E-17	-1.503792714	0.133336224	0.453075849	-5.140984377	ME8	Usp34
ENSMUSG00000058665	0.067170986	1.65E-17	0.668512471	0.504149289	0.700207346	-6.013638377	ME13	En1
ENSMUSG00000074064	-0.129798129	9.78E-17	-1.291802796	0.197088506	0.453075849	-5.426006504	ME0	Mlycd
ENSMUSG00000074129	0.154770706	3.63E-17	1.540339845	0.1241804	0.453075849	-5.087477958	ME9	Rpl13a
ENSMUSG00000086324	-0.022104173	-7.84E-17	-0.21998955	0.825979054	0.976562906	-6.205298648	ME1	Gm15564
ENSMUSG00000098771	0.139975515	-3.47E-19	1.393092205	0.164279684	0.453075849	-5.295214746	ME15	Mir6538
ENSMUSG00000102070	0.129143355	2.12E-17	1.285286219	0.199353374	0.453075849	-5.434083279	ME14	Gm28661
ENSMUSG00000104212	-0.033929952	-2.95E-18	-0.337684426	0.735758476	0.919698095	-6.173732109	ME17	Gm37986
ENSMUSG00000118866	-0.0142785	-8.67E-20	-0.142105332	0.887060406	0.976562906	-6.218861808	ME18	Rn7s1
