ModuleEigengene	mgi_symbol	ensembl_gene_id	logFC_INPUT_FENT	logFC_INPUT_F_FENT	logFC_INPUT_M_FENT	P.Value_INPUT_FENT	P.Value_INPUT_F_FENT	P.Value_INPUT_M_FENT
ME11	Pnck	ENSMUSG00000002012	-0.0318748686359323	-0.0986937688972205	0.034944031625356	0.775667875811011	0.533216636105991	0.825142171187091
ME22	Cnp	ENSMUSG00000006782	-0.0691755013944517	-0.113675936683193	-0.0246750661057105	0.593308263916582	0.535063199447608	0.892727840238907
ME12	Wnt3a	ENSMUSG00000009900	-0.300417996212298	-0.327039160767326	-0.273796831657271	0.0766249025229552	0.170601998953835	0.250185841529083
ME3	Ppp1r12a	ENSMUSG00000019907	-0.0522962628531869	-0.0681849795289313	-0.0364075461774425	0.372015232478194	0.410260358847349	0.659519418643512
ME2	Ahi1	ENSMUSG00000019986	-0.230538268482115	-0.42314007534554	-0.0379364616186901	0.182585213453696	0.085228162534399	0.875841727398425
ME5	Pafah1b1	ENSMUSG00000020745	-0.0666522254165538	-0.0497396781998907	-0.0835647726332169	0.148342564256683	0.442732152849827	0.199210675069535
ME10	Synj1	ENSMUSG00000022973	-0.080166703384057	0.0233765388214344	-0.183709945589548	0.1421494719869	0.760128902667887	0.0190393572687043
ME16	Mbd2	ENSMUSG00000024513	0.0675086923781656	0.00437930831330924	0.130638076443022	0.425120121020377	0.97073770749848	0.276236776098284
ME23	Cd63	ENSMUSG00000025351	0.184995982923082	0.152922299355116	0.217069666491048	0.0362899247228253	0.215449512298514	0.0806339152134867
ME4	Snap25	ENSMUSG00000027273	-0.0063211292604306	0.138301528896562	-0.150943787417424	0.960504046388644	0.444714623999897	0.404435691424523
ME6	Slc13a4	ENSMUSG00000029843	1.17094095250227	1.73679660705867	0.605085297945857	0.0141750164763644	0.0102807814554054	0.359528363536286
ME21	Tmem30a	ENSMUSG00000032328	-0.0213539922530597	0.00232110913249883	-0.0450290936386182	0.696873429847474	0.976099304958621	0.561655008011661
ME24	Neo1	ENSMUSG00000032340	0.0026994167422667	0.0372232871286098	-0.0318244536440764	0.952411638315083	0.561187615148652	0.619196235295937
ME19	Chrna5	ENSMUSG00000035594	0.597778866118847	0.885851033883766	0.309706698353928	0.0276231468986181	0.0212491187764089	0.411417719611258
ME7	Mag	ENSMUSG00000036634	0.067987744282517	0.0634866726153316	0.0724888159497024	0.71577391388732	0.809944896347526	0.783640297398259
ME20	Ctss	ENSMUSG00000038642	0.3998381007926	0.312127450205002	0.487548751380199	0.00457108609101678	0.109040069419478	0.0136690513996819
ME8	Usp34	ENSMUSG00000056342	-0.114833284831179	-0.0930758959149118	-0.136590673747446	0.0298261115182432	0.207028647758075	0.0661107973978048
ME13	En1	ENSMUSG00000058665	0.27982762871558	0.158462315250515	0.401192942180645	0.39831498737616	0.734557318147591	0.391881672287299
ME0	Mlycd	ENSMUSG00000074064	-0.129474254863796	-0.156818670313056	-0.102129839414536	0.075927610945695	0.127165974830258	0.317777310849275
ME9	Rpl13a	ENSMUSG00000074129	0.095382988190245	0.0633399126280727	0.127426063752417	0.191120865042834	0.537032144418545	0.216507105131684
ME1	Gm15564	ENSMUSG00000086324	-0.0549698438984034	0.107021030964818	-0.216960718761625	0.842505708478737	0.784477515321681	0.579652441953284
ME15	Mir6538	ENSMUSG00000098771	0.254890238117258	0.0963783333029768	0.413402142931538	0.209634909117134	0.735729248492603	0.151053695879239
ME14	Gm28661	ENSMUSG00000102070	0.114552917894171	0.220645472003099	0.00846036378524317	0.569751183707098	0.439356935593816	0.976286074142703
ME17	Gm37986	ENSMUSG00000104212	-0.10186157816864	-0.00257750808136947	-0.20114564825591	0.739256181803709	0.995246111396435	0.64225871123345
ME18	Rn7s1	ENSMUSG00000118866	0.0468159151818295	-0.110594373830651	0.20422620419431	0.758908832062029	0.608434562052172	0.345408931211289
