CommonGenes	Sets
Pam16	UP_DA_UP_AMY_MF
Slc17a8	UP_DA_UP_AMY_MF
Pcsk1	UP_DA_UP_AMY_MF
Dnajc9	UP_DA_UP_AMY_MF
Masp1	UP_DA_UP_AMY_MF
Gad2	UP_DA_UP_AMY_MF
Pdha1	UP_DA_UP_AMY_MF
Pkm	UP_DA_UP_AMY_MF
Ttf2	UP_DA_UP_AMY_MF
Tigar	UP_DA_UP_AMY_MF
Ciart	UP_DA_UP_AMY_MF
Tmem135	UP_DA_UP_AMY_MF
Cyp2s1	UP_DA_UP_AMY_MF
Tmem150c	UP_DA_UP_AMY_MF
Gypa	UP_DA_UP_AMY_MF
Ptprt	UP_DA_UP_AMY_MF
Tgoln1	UP_DA_UP_AMY_MF
Col25a1	UP_DA_UP_AMY_MF
Gtf2i	UP_DA_UP_AMY_MF
Hs6st2	UP_DA_UP_AMY_MF
Igf1r	UP_DA_DOWN_AMY_MF
Grid2ip	UP_DA_DOWN_AMY_MF
Cnksr3	UP_DA_DOWN_AMY_MF
Nle1	UP_DA_DOWN_AMY_MF
Hr	UP_DA_DOWN_AMY_MF
Mylk	UP_DA_DOWN_AMY_MF
Snrpc	UP_DA_DOWN_AMY_MF
Stom	UP_DA_DOWN_AMY_MF
Antxr2	UP_DA_DOWN_AMY_MF
Tmem168	UP_DA_DOWN_AMY_MF
9130019O22Rik	UP_DA_DOWN_AMY_MF
Dock11	UP_DA_DOWN_AMY_MF
Chrdl1	UP_DA_DOWN_AMY_MF
Arhgap27	UP_DA_DOWN_AMY_MF
Pdzrn3	UP_DA_DOWN_AMY_MF
Klf10	UP_DA_DOWN_AMY_MF
Sh2d4b	UP_DA_DOWN_AMY_MF
Cdh12	UP_DA_DOWN_AMY_MF
Synpo	UP_DA_DOWN_AMY_MF
Ubtd2	UP_DA_DOWN_AMY_MF
Tmem232	UP_DA_DOWN_AMY_MF
Hs3st1	UP_DA_DOWN_AMY_MF
Rspo2	UP_DA_DOWN_AMY_MF
Zmat1	UP_DA_DOWN_AMY_MF
Irs1	UP_DA_DOWN_AMY_MF
Gm10076	UP_DA_DOWN_AMY_MF
Col4a3	UP_DA_DOWN_AMY_MF
Gm34934	UP_DA_DOWN_AMY_MF
Phlda1	UP_DA_UP_AMY_M
Pcsk1	UP_DA_UP_AMY_M
Nudt12	UP_DA_UP_AMY_M
Serpine2	UP_DA_UP_AMY_M
Mcm10	UP_DA_UP_AMY_M
Pdha1	UP_DA_UP_AMY_M
Mrps22	UP_DA_UP_AMY_M
Ttf2	UP_DA_UP_AMY_M
Fgf2	UP_DA_UP_AMY_M
Trmt112	UP_DA_UP_AMY_M
Tmem135	UP_DA_UP_AMY_M
Kcnk13	UP_DA_UP_AMY_M
Tmem150c	UP_DA_UP_AMY_M
Gypa	UP_DA_UP_AMY_M
Ptprt	UP_DA_UP_AMY_M
Fbxo6	UP_DA_UP_AMY_M
Emc7	UP_DA_UP_AMY_M
