CommonGenes	Sets
Tmem176a	UP_DA_UP_NAC_MF
Gtf2b	UP_DA_UP_NAC_MF
Ciart	UP_DA_UP_NAC_MF
Fbxo6	UP_DA_UP_NAC_MF
Col25a1	UP_DA_UP_NAC_MF
H2-T23	UP_DA_UP_NAC_MF
Gm11650	UP_DA_UP_NAC_MF
Ell2	UP_DA_DOWN_NAC_MF
Cic	UP_DA_DOWN_NAC_MF
Hr	UP_DA_DOWN_NAC_MF
Lima1	UP_DA_DOWN_NAC_MF
Ppil1	UP_DA_DOWN_NAC_MF
Adhfe1	UP_DA_DOWN_NAC_MF
Myh14	UP_DA_DOWN_NAC_MF
Creb5	UP_DA_DOWN_NAC_MF
Ttll12	UP_DA_UP_NAC_M
Harbi1	UP_DA_UP_NAC_M
Ddx60	UP_DA_UP_NAC_M
Ndnf	UP_DA_UP_NAC_M
Zfp697	UP_DA_UP_NAC_M
H2-T23	UP_DA_UP_NAC_M
Grid2ip	UP_DA_UP_NAC_F
Pam16	UP_DA_UP_NAC_F
Mrpl58	UP_DA_UP_NAC_F
Tmem176a	UP_DA_UP_NAC_F
Mrpl30	UP_DA_UP_NAC_F
Ciart	UP_DA_UP_NAC_F
Tmem135	UP_DA_UP_NAC_F
Fbxo6	UP_DA_UP_NAC_F
Col25a1	UP_DA_UP_NAC_F
2310009B15Rik	UP_DA_UP_NAC_F
Ankrd39	UP_DA_UP_NAC_F
Pam16	UP_DA_DOWN_NAC_M
Ppil1	UP_DA_DOWN_NAC_M
Gsap	UP_DA_DOWN_NAC_M
Sfxn4	UP_DA_DOWN_NAC_M
Rad21l	UP_DA_DOWN_NAC_M
9330111N05Rik	UP_DA_DOWN_NAC_M
Gm45159	UP_DA_DOWN_NAC_M
Ell2	UP_DA_DOWN_NAC_F
Zfp324	UP_DA_DOWN_NAC_F
Cic	UP_DA_DOWN_NAC_F
Hr	UP_DA_DOWN_NAC_F
Lima1	UP_DA_DOWN_NAC_F
Adhfe1	UP_DA_DOWN_NAC_F
Dyrk2	UP_DA_DOWN_NAC_F
Vamp3	UP_DA_DOWN_NAC_F
