CommonGenes	Sets
Sync	UP_DA_UP_PFC_MF
Slc17a8	UP_DA_UP_PFC_MF
Col11a1	UP_DA_UP_PFC_MF
Mrpl37	UP_DA_UP_PFC_MF
Ciart	UP_DA_UP_PFC_MF
Wdfy4	UP_DA_UP_PFC_MF
Gypa	UP_DA_UP_PFC_MF
H2-T23	UP_DA_UP_PFC_MF
Cd83	UP_DA_DOWN_PFC_MF
Diaph3	UP_DA_DOWN_PFC_MF
Adcyap1	UP_DA_DOWN_PFC_MF
Zfpl1	UP_DA_DOWN_PFC_MF
Nifk	UP_DA_DOWN_PFC_MF
Slc37a3	UP_DA_DOWN_PFC_MF
Ubfd1	UP_DA_DOWN_PFC_MF
Cckbr	UP_DA_DOWN_PFC_MF
Mrpl54	UP_DA_DOWN_PFC_MF
Vgf	UP_DA_DOWN_PFC_MF
Prex1	UP_DA_DOWN_PFC_MF
Synpo	UP_DA_DOWN_PFC_MF
Tmem150c	UP_DA_DOWN_PFC_MF
Rspo2	UP_DA_DOWN_PFC_MF
Emc7	UP_DA_DOWN_PFC_MF
Rpl3	UP_DA_DOWN_PFC_MF
Grcc10	UP_DA_DOWN_PFC_MF
Masp1	UP_DA_UP_PFC_M
Smad9	UP_DA_UP_PFC_M
Golim4	UP_DA_UP_PFC_M
Ciart	UP_DA_UP_PFC_M
Gypa	UP_DA_UP_PFC_M
H2-T23	UP_DA_UP_PFC_M
Col4a3	UP_DA_UP_PFC_M
Sync	UP_DA_UP_PFC_F
Eya2	UP_DA_UP_PFC_F
Col11a1	UP_DA_UP_PFC_F
Mrpl37	UP_DA_UP_PFC_F
Tmem168	UP_DA_UP_PFC_F
Ciart	UP_DA_UP_PFC_F
Ubtd2	UP_DA_UP_PFC_F
Wdfy4	UP_DA_UP_PFC_F
Pate2	UP_DA_UP_PFC_F
Gm48914	UP_DA_UP_PFC_F
Gm35867	UP_DA_UP_PFC_F
Srr	UP_DA_DOWN_PFC_M
Grid2ip	UP_DA_DOWN_PFC_M
Cd83	UP_DA_DOWN_PFC_M
