"mgi_symbol","P.Value_AMY_F_FENT","P.Value_AMY_M_FENT","P.Value_AMY_FENT","logFC_AMY_F_FENT","logFC_AMY_M_FENT","logFC_AMY_FENT","gene","cell_type","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"Sez6",0.112935824448068,0.34238361384224,0.0746516620059308,0.24685677003923,0.146854475020072,0.196855622529651,"Sez6",16,1.60232681353589,0.0407322576158186,1,"pseudobulk","edgeR","LRT"
"Oprm1",0.321075627605438,0.12904517659259,0.0775798679660052,-0.156560464729482,-0.240841112463053,-0.198700788596268,"Oprm1",16,-1.90679710017617,0.00684689221500712,1,"pseudobulk","edgeR","LRT"
"Calm1",0.915956138323087,0.349924980657758,0.461524615246829,0.0109482673174739,0.0973301848863954,0.0541392261019347,"Calm1",16,0.876723199233027,0.0334717937789583,1,"pseudobulk","edgeR","LRT"
"Srr",0.828056313403581,0.474468484229266,0.509744462559408,-0.0238174558960473,-0.0785855232640582,-0.0512014895800528,"Srr",16,0.908452807183225,0.0390678788669278,1,"pseudobulk","edgeR","LRT"
"Sync",0.304037697825422,0.599626896036593,0.273051908229276,0.225133196415393,0.114603218504822,0.169868207460107,"Sync",16,2.47554110905713,0.0430035446736692,1,"pseudobulk","edgeR","LRT"
"Ell2",0.847739955353023,0.142680164018951,0.240026655589604,-0.0261378509848562,-0.201349041059921,-0.113743446022389,"Ell2",16,1.66100730388977,0.0107519293842545,1,"pseudobulk","edgeR","LRT"
"Ssr4",0.114517083701275,0.331346292670686,0.661514286029186,-0.277946124561852,0.169958506568894,-0.0539938089964789,"Ssr4",16,-1.2727698503073,0.0318686952066532,1,"pseudobulk","edgeR","LRT"
"Fam98a",0.725728642536681,0.5752063070692,0.881881669858479,-0.0570510348910109,0.0912088702435234,0.0170789176762562,"Fam98a",16,-1.09042050266089,0.0410896264099941,1,"pseudobulk","edgeR","LRT"
"Mov10",0.305253929713852,0.604130030352569,0.718136311381843,-0.229339431762428,0.115595881295925,-0.0568717752332519,"Mov10",16,-2.06709749011549,0.00760355019637117,1,"pseudobulk","edgeR","LRT"
"Nr2f6",0.973804374703304,0.393201891587861,0.560864013702649,-0.00423321142274169,0.110410290623318,0.0530885396002883,"Nr2f6",16,3.94170334371417,0.0375155851775314,1,"pseudobulk","edgeR","LRT"
"Dyrk1b",0.897301878755884,0.0917129683300787,0.267047629918883,0.0145850439506514,-0.192867620390535,-0.0891412882199418,"Dyrk1b",16,-2.40800291378564,0.00633541589778064,1,"pseudobulk","edgeR","LRT"
"Tiam1",0.636905867409057,0.00200837264821695,0.055957057290398,0.0708331757451948,-0.482416728209119,-0.205791776231962,"Tiam1",16,-0.773811086107637,0.0456533995226442,1,"pseudobulk","edgeR","LRT"
"Nob1",0.269200917634949,0.410595420612767,0.174404760573786,0.162096874150651,0.120439218947635,0.141268046549143,"Nob1",16,1.68682542910938,0.0256289779171767,1,"pseudobulk","edgeR","LRT"
"Atp6v1f",0.741568968089239,0.638769984896939,0.572229516733511,0.0435710741072608,0.0620504030288922,0.0528107385680765,"Atp6v1f",16,2.06137434261098,0.0361053660058226,1,"pseudobulk","edgeR","LRT"
