"mgi_symbol","P.Value_INPUT_F_FENT","P.Value_INPUT_M_FENT","P.Value_INPUT_FENT","logFC_INPUT_F_FENT","logFC_INPUT_M_FENT","logFC_INPUT_FENT","gene","cell_type","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"Sez6",0.963267416094104,0.797005285524577,0.830188557544471,0.00634694693704851,0.0354593073018421,0.0209031271194453,"Sez6",16,1.60232681353589,0.0407322576158186,1,"pseudobulk","edgeR","LRT"
"Oprm1",0.823115519261722,0.183607136220073,0.431184834995001,0.031422648872697,-0.18828399130031,-0.0784306712138068,"Oprm1",16,-1.90679710017617,0.00684689221500712,1,"pseudobulk","edgeR","LRT"
"Calm1",0.371363926810496,0.214809034117056,0.803699732503266,0.083227370493459,-0.115853186494224,-0.0163129080003825,"Calm1",16,0.876723199233027,0.0334717937789583,1,"pseudobulk","edgeR","LRT"
"Srr",0.57526533973082,0.219010817687437,0.206626478914889,0.0550188691983875,0.121308711205776,0.0881637902020818,"Srr",16,0.908452807183225,0.0390678788669278,1,"pseudobulk","edgeR","LRT"
"Sync",0.566347725182772,0.939580095606315,0.72464075901546,0.112000338996036,-0.0147840961251051,0.0486081214354653,"Sync",16,2.47554110905713,0.0430035446736692,1,"pseudobulk","edgeR","LRT"
"Ell2",0.9819446999263,0.512463128606102,0.631556537872558,-0.00275513027434915,-0.0798865121161145,-0.0413208211952318,"Ell2",16,1.66100730388977,0.0107519293842545,1,"pseudobulk","edgeR","LRT"
"Ssr4",0.608943601413483,0.982270309135339,0.729151693306008,0.0798268153680155,-0.00346378393969093,0.0381815157141623,"Ssr4",16,-1.2727698503073,0.0318686952066532,1,"pseudobulk","edgeR","LRT"
"Fam98a",0.537423550708056,0.583444953164774,0.961284495646974,0.0898026155919429,-0.0798223607555526,0.00499012741819516,"Fam98a",16,-1.09042050266089,0.0410896264099941,1,"pseudobulk","edgeR","LRT"
"Mov10",0.97580134847513,0.0218102898767383,0.105438015152571,-0.00604211690022183,0.467223612531087,0.230590747815433,"Mov10",16,-2.06709749011549,0.00760355019637117,1,"pseudobulk","edgeR","LRT"
"Nr2f6",0.98004967226546,0.691293078777002,0.792380671868579,0.00288338479666717,-0.0458180439620071,-0.0214673295826699,"Nr2f6",16,3.94170334371417,0.0375155851775314,1,"pseudobulk","edgeR","LRT"
"Dyrk1b",0.388573789600726,0.397111563339325,0.228297631579313,-0.087412282910408,-0.085839842739269,-0.0866260628248385,"Dyrk1b",16,-2.40800291378564,0.00633541589778064,1,"pseudobulk","edgeR","LRT"
"Tiam1",0.976595270210313,0.745447791888725,0.802323306983463,-0.00393397062471923,-0.0435521244074284,-0.0237430475160738,"Tiam1",16,-0.773811086107637,0.0456533995226442,1,"pseudobulk","edgeR","LRT"
"As3mt",0.00725699334357418,0.753232029582116,0.0325017267529778,-0.334358928565747,-0.0379815071616849,-0.186170217863716,"As3mt",16,1.64812980324991,0.0329988924146696,1,"pseudobulk","edgeR","LRT"
"Nob1",0.0780210937686342,0.874826438974797,0.172793076700054,0.233104920942404,0.0205665625947082,0.126835741768556,"Nob1",16,1.68682542910938,0.0256289779171767,1,"pseudobulk","edgeR","LRT"
"Trmt10a",0.986639636439665,0.640698409237303,0.750219893796801,0.002318702000081,-0.0646851514642592,-0.0311832247320891,"Trmt10a",16,1.82576929890635,0.0273938749148523,1,"pseudobulk","edgeR","LRT"
"Atp6v1f",0.578537237352287,0.41354985076551,0.332406632943494,-0.0657041111364585,-0.0968559992980582,-0.0812800552172583,"Atp6v1f",16,2.06137434261098,0.0361053660058226,1,"pseudobulk","edgeR","LRT"
"Zfp324",0.41368159512765,0.146750051033881,0.648936627618768,-0.128506059342348,0.229519756721022,0.050506848689337,"Zfp324",16,2.44450517980376,0.0456341668220256,1,"pseudobulk","edgeR","LRT"
"Apba3",0.22117214684709,0.731779693904916,0.530622212385418,0.234061432381592,-0.0651939139705799,0.0844337592055062,"Apba3",16,-1.93768470951728,0.0374793371181529,1,"pseudobulk","edgeR","LRT"
"Prkacb",0.135861956142878,0.667809468265934,0.174588343790924,-0.167765787519288,-0.0478601366784908,-0.107812962098889,"Prkacb",16,0.939855850050372,0.0167412094205107,1,"pseudobulk","edgeR","LRT"
"Klf5",0.40966105990984,0.48917809584724,0.284832064719882,0.217097994893519,0.181955589665514,0.199526792279517,"Klf5",16,4.59010284297804,0.0101333629866133,1,"pseudobulk","edgeR","LRT"
"Polr2a",0.565276855667948,0.376252440956984,0.825463029566746,-0.0502071770549124,0.0774050498117012,0.0135989363783944,"Polr2a",16,-1.31989365682284,0.0324603448225576,1,"pseudobulk","edgeR","LRT"
"Cic",0.944313009462609,0.373676646702463,0.49699637242548,-0.00492045937589936,-0.0628756617455508,-0.0338980605607251,"Cic",16,1.62220188745174,0.0323160433780494,1,"pseudobulk","edgeR","LRT"
"Kbtbd4",0.236249856947486,0.363384398466201,0.843437427654392,-0.116849535687676,0.0894530585747937,-0.0136982385564413,"Kbtbd4",16,3.94170334371417,0.0375155851775314,1,"pseudobulk","edgeR","LRT"
"Igf1r",0.106990640769105,0.18965863635001,0.0403961063380952,-0.113856576198486,-0.0923008381020187,-0.103078707150252,"Igf1r",16,0.834415099883572,0.025647291256594,1,"pseudobulk","edgeR","LRT"
"Mthfd2",0.223733158517656,0.873449240715574,0.329840472230461,-0.157319270841906,-0.0204688887387157,-0.0888940797903106,"Mthfd2",16,-2.36576026414724,0.0215430947036987,1,"pseudobulk","edgeR","LRT"
"Sqor",0.451194028927969,0.0418066786174416,0.353703697390163,-0.114655091954301,0.314496960239715,0.099920934142707,"Sqor",16,3.87819521925641,0.0406436888374902,1,"pseudobulk","edgeR","LRT"
"Gpr108",0.630971457538402,0.717230255711331,0.55161999082212,0.0594965733793362,0.0448380086687004,0.0521672910240183,"Gpr108",16,-1.43173748709177,0.0335763880169041,1,"pseudobulk","edgeR","LRT"
"Ephb3",0.990685259207165,0.771442947285908,0.843677513431273,0.00342371401927588,-0.0852196428262202,-0.0408979644034722,"Ephb3",16,3.87819521925641,0.0406436888374902,1,"pseudobulk","edgeR","LRT"
"Crkl",0.973803466642792,0.341649678237487,0.515312938120135,0.00201100656459818,-0.058456280126455,-0.0282226367809284,"Crkl",16,-1.59945120056175,0.0227746109054056,1,"pseudobulk","edgeR","LRT"
"Eps8l1",0.293978325317998,0.778624792044159,0.585067124554103,0.265434041007831,-0.0707947092156083,0.0973196658961115,"Eps8l1",16,-2.52060631018851,0.0129583880623435,1,"pseudobulk","edgeR","LRT"
"Zfp655",0.357455057442372,0.222303470109693,0.131839242591222,-0.0869087619984139,-0.115575065371766,-0.10124191368509,"Zfp655",16,1.67377640422356,0.0433234129565339,1,"pseudobulk","edgeR","LRT"
"Prrg2",0.679053463239427,0.589477300708362,0.500624196494853,0.109159836805513,0.142431702061754,0.125795769433634,"Prrg2",16,-3.86151518292041,0.0338623165878265,1,"pseudobulk","edgeR","LRT"
"Rdh13",0.687957254303782,0.784121258549791,0.633004233984721,0.0344880871002426,0.0235158629592136,0.0290019750297281,"Rdh13",16,3.02267430567668,0.00888078306116339,1,"pseudobulk","edgeR","LRT"
"Fam163b",0.562250566628066,0.135294487330803,0.512730876526178,0.0743927898517054,-0.193279011453254,-0.0594431108007742,"Fam163b",16,2.74183024422426,0.0237085271398696,1,"pseudobulk","edgeR","LRT"
"6330409D20Rik",0.181059146526496,0.783057086202133,0.449431207332678,0.149962397949057,-0.0306479154995145,0.0596572412247711,"6330409D20Rik",16,-4.27626143217487,0.0148722980440723,1,"pseudobulk","edgeR","LRT"
"Kif19a",0.649157776916092,0.041936769924854,0.0779920748894206,-0.107063975894682,-0.486784945619489,-0.296924460757086,"Kif19a",16,-3.87878363290224,0.033145926175455,1,"pseudobulk","edgeR","LRT"
"AI597479",0.821304397836317,0.475144611858784,0.506329649317979,-0.0190398958309963,-0.0603160797572588,-0.0396779877941276,"AI597479",16,2.24397968718088,0.0225528229228913,1,"pseudobulk","edgeR","LRT"
"Tsacc",0.47571186862279,0.304529052703757,0.219881469702957,0.237245802398301,0.342336879927323,0.289791341162812,"Tsacc",16,1.89011932384178,0.0120555629307658,1,"pseudobulk","edgeR","LRT"
"Grid2ip",0.38296644705469,0.385567443731235,0.997288725048821,0.329900766460673,-0.328089439580058,0.00090566344030707,"Grid2ip",16,3.87819521925641,0.0406436888374902,1,"pseudobulk","edgeR","LRT"
