"mgi_symbol","P.Value_NAC_F_FENT","P.Value_NAC_M_FENT","P.Value_NAC_FENT","logFC_NAC_F_FENT","logFC_NAC_M_FENT","logFC_NAC_FENT","gene","cell_type","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"Sez6",0.408273738319142,0.882709809010041,0.609776516718586,0.131975475172588,-0.0215678639331296,0.0552038056197293,"Sez6",16,1.60232681353589,0.0407322576158186,1,"pseudobulk","edgeR","LRT"
"Oprm1",0.36196754180186,0.217611174525136,0.133920482968539,0.148459471341337,0.184968689766599,0.166714080553968,"Oprm1",16,-1.90679710017617,0.00684689221500712,1,"pseudobulk","edgeR","LRT"
"Calm1",0.0545292617462828,0.45396997089816,0.35382641597633,0.209256133384121,-0.0738716958388057,0.0676922187726579,"Calm1",16,0.876723199233027,0.0334717937789583,1,"pseudobulk","edgeR","LRT"
"Srr",0.961738849280652,0.101741565026057,0.250727371595556,0.00543202653888564,0.172155679042381,0.0887938527906336,"Srr",16,0.908452807183225,0.0390678788669278,1,"pseudobulk","edgeR","LRT"
"Sync",0.151341492772562,0.461020192823228,0.121165742614785,-0.325972848295295,-0.152851404773895,-0.239412126534595,"Sync",16,2.47554110905713,0.0430035446736692,1,"pseudobulk","edgeR","LRT"
"Ell2",0.0176252665733334,0.57513568898148,0.0332860491971322,-0.3417430720237,-0.0724721842557194,-0.20710762813971,"Ell2",16,1.66100730388977,0.0107519293842545,1,"pseudobulk","edgeR","LRT"
"Ssr4",0.717915226320824,0.58038708589473,0.913789472006213,0.0650527333050546,-0.0915110893563957,-0.0132291780256706,"Ssr4",16,-1.2727698503073,0.0318686952066532,1,"pseudobulk","edgeR","LRT"
"Fam98a",0.163274528495755,0.225235969083871,0.0666041882240721,-0.235972033565573,-0.188169590030345,-0.212070811797959,"Fam98a",16,-1.09042050266089,0.0410896264099941,1,"pseudobulk","edgeR","LRT"
"Mov10",0.890317293874651,0.781745579801059,0.931541191020577,-0.0317209998832952,0.0585513815469545,0.0134151908318296,"Mov10",16,-2.06709749011549,0.00760355019637117,1,"pseudobulk","edgeR","LRT"
"Nr2f6",0.970039522987313,0.500194922269967,0.667955707442921,0.00500067855787467,-0.0826104696765064,-0.0388048955593159,"Nr2f6",16,3.94170334371417,0.0375155851775314,1,"pseudobulk","edgeR","LRT"
"Dyrk1b",0.0294377608889808,0.310367271624629,0.345394351527974,-0.259297553212768,0.10921804498099,-0.0750397541158891,"Dyrk1b",16,-2.40800291378564,0.00633541589778064,1,"pseudobulk","edgeR","LRT"
"Tiam1",0.697601276436439,0.991070007387004,0.76890612698468,0.0602017160520427,0.00159184311507854,0.0308967795835606,"Tiam1",16,-0.773811086107637,0.0456533995226442,1,"pseudobulk","edgeR","LRT"
"As3mt",0.329709001444921,0.176068707886278,0.840210691852477,-0.136465079294079,0.174648277625763,0.019091599165842,"As3mt",16,1.64812980324991,0.0329988924146696,1,"pseudobulk","edgeR","LRT"
"Nob1",0.839122996686061,0.994165448847629,0.885043200832366,0.0306072522846477,-0.00101250683886178,0.0147973727228929,"Nob1",16,1.68682542910938,0.0256289779171767,1,"pseudobulk","edgeR","LRT"
"Atp6v1f",0.832245139618745,0.7939448519458,0.983474259680335,0.0288967456879474,-0.0327329102218679,-0.00191808226696022,"Atp6v1f",16,2.06137434261098,0.0361053660058226,1,"pseudobulk","edgeR","LRT"
"Zfp324",0.0282662882459624,0.797461332837259,0.0722226707555953,-0.405281113671808,-0.0426830807301317,-0.22398209720097,"Zfp324",16,2.44450517980376,0.0456341668220256,1,"pseudobulk","edgeR","LRT"
"Apba3",0.801844711587492,0.659427004469534,0.629259938684087,0.0551052014630025,0.088937028347702,0.0720211149053522,"Apba3",16,-1.93768470951728,0.0374793371181529,1,"pseudobulk","edgeR","LRT"
"Prkacb",0.652877950976283,0.462278234938271,0.407932154085456,0.057922769670645,0.087083500552195,0.07250313511142,"Prkacb",16,0.939855850050372,0.0167412094205107,1,"pseudobulk","edgeR","LRT"
"Klf5",0.585371127185314,0.176001742506082,0.188463786802457,0.165606240491382,0.379768531524462,0.272687386007922,"Klf5",16,4.59010284297804,0.0101333629866133,1,"pseudobulk","edgeR","LRT"
"Polr2a",0.759552053939807,0.183847757185687,0.26048497871744,0.0308272977411512,0.123830004837937,0.0773286512895441,"Polr2a",16,-1.31989365682284,0.0324603448225576,1,"pseudobulk","edgeR","LRT"
"Cic",0.016596889450541,0.692960419023513,0.0414702233973397,-0.199671386962876,-0.029519866895674,-0.114595626929275,"Cic",16,1.62220188745174,0.0323160433780494,1,"pseudobulk","edgeR","LRT"
"Kbtbd4",0.532614535492724,0.93004779533487,0.603678670011245,0.0707827004933659,0.00913173928526589,0.0399572198893159,"Kbtbd4",16,3.94170334371417,0.0375155851775314,1,"pseudobulk","edgeR","LRT"
"Igf1r",0.147167486134605,0.12419040180719,0.978764607231304,-0.117986205206673,0.115070551686189,-0.00145782676024186,"Igf1r",16,0.834415099883572,0.025647291256594,1,"pseudobulk","edgeR","LRT"
"Mthfd2",0.261277381791542,0.535742822607904,0.213797933229894,0.167573376382139,0.0845367831310404,0.12605507975659,"Mthfd2",16,-2.36576026414724,0.0215430947036987,1,"pseudobulk","edgeR","LRT"
"Sqor",0.66682611546779,0.687254454646439,0.964288361137463,-0.0755267877667669,0.0648694437969297,-0.0053286719849186,"Sqor",16,3.87819521925641,0.0406436888374902,1,"pseudobulk","edgeR","LRT"
"Gpr108",0.154699173810386,0.374755466245521,0.649638668508132,0.205089037882937,-0.116880774763803,0.0441041315595672,"Gpr108",16,-1.43173748709177,0.0335763880169041,1,"pseudobulk","edgeR","LRT"
"Ephb3",0.253382312620574,0.305903727722379,0.126917963742513,-0.388916594404697,-0.319888205437893,-0.354402399921295,"Ephb3",16,3.87819521925641,0.0406436888374902,1,"pseudobulk","edgeR","LRT"
"Crkl",0.915990668694299,0.146156242869822,0.287100880442844,0.00745953522974663,0.0952427449202693,0.051351140075008,"Crkl",16,-1.59945120056175,0.0227746109054056,1,"pseudobulk","edgeR","LRT"
"Eps8l1",0.515122757384651,0.496923102209018,0.984243005902314,0.189551184955601,-0.181755404510513,0.00389789022254416,"Eps8l1",16,-2.52060631018851,0.0129583880623435,1,"pseudobulk","edgeR","LRT"
"Zfp655",0.517019936926557,0.986037311069312,0.641381710730139,-0.0705330182902548,0.00174679255207,-0.0343931128690924,"Zfp655",16,1.67377640422356,0.0433234129565339,1,"pseudobulk","edgeR","LRT"
"Prrg2",0.470800917235434,0.682276476156936,0.798648151822237,0.220024703523148,-0.1145494747662,0.0527376143784742,"Prrg2",16,-3.86151518292041,0.0338623165878265,1,"pseudobulk","edgeR","LRT"
"Rdh13",0.720482949602895,0.420448126479548,0.777369837778507,0.0354739201607206,-0.0735292250161805,-0.01902765242773,"Rdh13",16,3.02267430567668,0.00888078306116339,1,"pseudobulk","edgeR","LRT"
"Fam163b",0.199348403954222,0.759816060722864,0.249238847722879,0.191304108918433,0.0415847732687284,0.116444441093581,"Fam163b",16,2.74183024422426,0.0237085271398696,1,"pseudobulk","edgeR","LRT"
"6330409D20Rik",0.98658450480954,0.724532852834375,0.801938790124667,-0.0021604970837088,-0.041614605395043,-0.0218875512393759,"6330409D20Rik",16,-4.27626143217487,0.0148722980440723,1,"pseudobulk","edgeR","LRT"
"Kif19a",0.645413787771008,0.731289249592621,0.56812159205575,-0.125045205348449,-0.0856886720112084,-0.105366938679829,"Kif19a",16,-3.87878363290224,0.033145926175455,1,"pseudobulk","edgeR","LRT"
"AI597479",0.793819482904631,0.425300086510122,0.464377662076559,0.0254413986912603,0.071459642695137,0.0484505206931987,"AI597479",16,2.24397968718088,0.0225528229228913,1,"pseudobulk","edgeR","LRT"
"Tsacc",0.950095871896576,0.27745417324119,0.433956809893803,-0.0239882938781757,-0.384273032421639,-0.204130663149908,"Tsacc",16,1.89011932384178,0.0120555629307658,1,"pseudobulk","edgeR","LRT"
"Grid2ip",0.00325362468920243,0.390837087940533,0.0994397627077016,1.32907413787331,-0.344123745407836,0.492475196232739,"Grid2ip",16,3.87819521925641,0.0406436888374902,1,"pseudobulk","edgeR","LRT"
"Pabpc4",0.182414115552129,0.856105927591078,0.268584773625734,0.160520441579959,0.0199047682636921,0.0902126049218257,"Pabpc4",16,-0.993047370563226,0.0285166635243327,1,"pseudobulk","edgeR","LRT"
"Gltp",0.115878758627313,0.883439915177684,0.286504537414087,-0.394132295626874,0.0334087790109052,-0.180361758307985,"Gltp",16,-2.11655694783712,0.0461292644458054,1,"pseudobulk","edgeR","LRT"
