"mgi_symbol","P.Value_PFC_F_FENT","P.Value_PFC_M_FENT","P.Value_PFC_FENT","logFC_PFC_F_FENT","logFC_PFC_M_FENT","logFC_PFC_FENT","gene","cell_type","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"Sez6",0.906598207960969,0.19747194057988,0.46189938644753,0.01952811880507,-0.178868154087469,-0.0796700176411997,"Sez6",16,1.60232681353589,0.0407322576158186,1,"pseudobulk","edgeR","LRT"
"Oprm1",0.0330418788064575,0.053601488788089,0.00470960569256752,-0.368822707634152,-0.275572650306378,-0.322197678970265,"Oprm1",16,-1.90679710017617,0.00684689221500712,1,"pseudobulk","edgeR","LRT"
"Calm1",0.290283077712204,0.0713878565710372,0.0508901814542876,-0.119059317690317,-0.169624459628812,-0.144341888659564,"Calm1",16,0.876723199233027,0.0334717937789583,1,"pseudobulk","edgeR","LRT"
"Srr",0.699389054837203,0.00241083351772496,0.0901358621599658,0.0457569082837956,-0.30951426143897,-0.131878676577587,"Srr",16,0.908452807183225,0.0390678788669278,1,"pseudobulk","edgeR","LRT"
"Sync",0.0169135840477716,0.499778321558404,0.0234439421095286,0.576437265424846,0.131875722155368,0.354156493790107,"Sync",16,2.47554110905713,0.0430035446736692,1,"pseudobulk","edgeR","LRT"
"Ell2",0.935944541093686,0.193759369321664,0.371501810789377,0.0118158002341078,0.15934387884325,0.0855798395386791,"Ell2",16,1.66100730388977,0.0107519293842545,1,"pseudobulk","edgeR","LRT"
"Ssr4",0.309073771788321,0.271904978422129,0.934215663591587,-0.192298367903592,0.172125794739519,-0.0100862865820366,"Ssr4",16,-1.2727698503073,0.0318686952066532,1,"pseudobulk","edgeR","LRT"
"Fam98a",0.954907449678968,0.244274436796255,0.482750549189576,-0.00992744091509934,0.170251394219842,0.0801619766523711,"Fam98a",16,-1.09042050266089,0.0410896264099941,1,"pseudobulk","edgeR","LRT"
"Mov10",0.507784144502226,0.201697270496912,0.757506014053077,0.159607448339435,-0.256075299468703,-0.048233925564634,"Mov10",16,-2.06709749011549,0.00760355019637117,1,"pseudobulk","edgeR","LRT"
"Nr2f6",0.488769934002151,0.782142546803276,0.720603070747915,0.0965891083841113,-0.0318952285375795,0.0323469399232659,"Nr2f6",16,3.94170334371417,0.0375155851775314,1,"pseudobulk","edgeR","LRT"
"Dyrk1b",0.0117637000398792,0.659982697913149,0.0906473449562534,0.315885417755678,-0.044498061849275,0.135693677953201,"Dyrk1b",16,-2.40800291378564,0.00633541589778064,1,"pseudobulk","edgeR","LRT"
"Tiam1",0.497344247010844,0.583379025676095,0.862281065265665,0.110113204205199,-0.0736372498921192,0.0182379771565397,"Tiam1",16,-0.773811086107637,0.0456533995226442,1,"pseudobulk","edgeR","LRT"
"Nob1",0.886330278843928,0.0839480309885781,0.222946997373303,-0.0225371019490379,-0.228483699849866,-0.125510400899452,"Nob1",16,1.68682542910938,0.0256289779171767,1,"pseudobulk","edgeR","LRT"
"Trmt10a",0.0641399698290497,0.761211507564491,0.213269039637766,0.31408628505225,-0.0420951627375339,0.135995561157358,"Trmt10a",16,1.82576929890635,0.0273938749148523,1,"pseudobulk","edgeR","LRT"
"Atp6v1f",0.142468073637772,0.971595855655403,0.266377092821658,-0.211126385498695,0.00420590902842388,-0.103460238235136,"Atp6v1f",16,2.06137434261098,0.0361053660058226,1,"pseudobulk","edgeR","LRT"
"Zfp324",0.306666306683071,0.492315954797255,0.724955904144914,0.194378112005923,-0.107853203624692,0.0432624541906155,"Zfp324",16,2.44450517980376,0.0456341668220256,1,"pseudobulk","edgeR","LRT"
"Apba3",0.809347198065753,0.851299522026744,0.760114135728342,-0.0554035838035927,-0.035643214821695,-0.0455233993126438,"Apba3",16,-1.93768470951728,0.0374793371181529,1,"pseudobulk","edgeR","LRT"
"Prkacb",0.595725075271449,0.129455897764423,0.169254615494789,-0.0714822901806418,-0.170617892118569,-0.121050091149606,"Prkacb",16,0.939855850050372,0.0167412094205107,1,"pseudobulk","edgeR","LRT"
"Klf5",0.721772416549426,0.53876791422804,0.905873249246333,0.112964922583464,-0.161645037955665,-0.0243400576861004,"Klf5",16,4.59010284297804,0.0101333629866133,1,"pseudobulk","edgeR","LRT"
"Polr2a",0.977238694437498,0.428438518439836,0.597679008629769,0.00300414299290974,0.0692274841079321,0.0361158135504209,"Polr2a",16,-1.31989365682284,0.0324603448225576,1,"pseudobulk","edgeR","LRT"
"Cic",0.791936786768731,0.20663609345877,0.544033200942318,0.0224468298629787,-0.0895616562093728,-0.033557413173197,"Cic",16,1.62220188745174,0.0323160433780494,1,"pseudobulk","edgeR","LRT"
"Kbtbd4",0.57523175387338,0.764748560945527,0.533887194255354,-0.0664536446546364,-0.0293591987847481,-0.0479064217196923,"Kbtbd4",16,3.94170334371417,0.0375155851775314,1,"pseudobulk","edgeR","LRT"
