ModuleEigengene	mgi_symbol	ensembl_gene_id	logFC_NAC_FENT	logFC_NAC_F_FENT	logFC_NAC_M_FENT	P.Value_NAC_FENT	P.Value_NAC_F_FENT	P.Value_NAC_M_FENT
ME33	Klf6	ENSMUSG00000000078	0.265700818853086	0.304765247253093	0.226636390453079	0.0222638837281297	0.0725935372814845	0.144218247469298
ME67	Axin2	ENSMUSG00000000142	0.0586886683426733	0.0206301518181897	0.0967471848671568	0.512761096051224	0.875657135581632	0.425558152122093
ME60	Coasy	ENSMUSG00000001755	0.123393493752296	0.2494430324916	-0.00265604498700833	0.139277295265986	0.0441057378623939	0.981059234264542
ME42	Cbx5	ENSMUSG00000009575	-0.0387743034430112	-0.123266230671168	0.045717623785146	0.465351945631767	0.118050875725006	0.524402594614482
ME35	Mettl16	ENSMUSG00000010554	0.0410849411310803	0.0758903736970886	0.00627950856507198	0.570678963493289	0.477346691290134	0.948854777036933
ME18	Mcoln2	ENSMUSG00000011008	0.213278675654692	0.0728667548099473	0.353690596499436	0.423798459681805	0.852441514193031	0.327547778446986
ME2	Ubb	ENSMUSG00000019505	0.116148216621327	0.203960183399309	0.0283362498433455	0.188376741260861	0.11794001788431	0.811198868678347
ME39	Sgpl1	ENSMUSG00000020097	0.0312246144670696	-0.0866386565650283	0.149087885499167	0.76441681873107	0.572751046274734	0.292314765912347
ME19	Asic2	ENSMUSG00000020704	0.177350999347843	0.236141326033825	0.118560672661862	0.162195952921457	0.205724901346327	0.487089144080414
ME51	Rnf135	ENSMUSG00000020707	-0.4461761670697	-0.77918385538973	-0.113168478749671	0.0469524033707817	0.019274436594289	0.705041385492356
ME55	Gpld1	ENSMUSG00000021340	-0.0104291063025856	-0.0672181415819759	0.0463599289768046	0.909358050370127	0.618704915372937	0.708511966561655
ME48	Gcnt2	ENSMUSG00000021360	-0.0981408481253332	-0.235111754339737	0.0388300580890704	0.565549901088272	0.351095722319528	0.866383376641754
ME32	Zdhhc20	ENSMUSG00000021969	-0.0692017707464783	-0.219337594526406	0.0809340530334497	0.223450297029873	0.0103669319217016	0.291876041913481
ME14	Jph4	ENSMUSG00000022208	-0.0307324484013258	-0.114983393411956	0.0535184966093043	0.735779335131627	0.392588573701207	0.664142774742403
ME8	Rock1	ENSMUSG00000024290	0.12584890906686	0.336590312620428	-0.0848924944867075	0.601387857199272	0.344097320193451	0.794334410359411
ME10	Tcf7l2	ENSMUSG00000024985	0.700739635589347	1.51456384167178	-0.113084570493085	0.0362516162000126	0.00259924656668215	0.799177927408441
ME17	Tm9sf3	ENSMUSG00000025016	0.0280750829733152	0.047111069041792	0.0090390969048384	0.518068998998306	0.461763395992296	0.87756167964068
ME16	Hspa12a	ENSMUSG00000025092	0.00239907132081552	0.0426814075526751	-0.0378832649110441	0.972640120050303	0.678899883770003	0.689138852953823
ME13	Pitx3	ENSMUSG00000025229	0.281869679395615	-0.0243054731387639	0.588044831929995	0.391522748669198	0.959868325991899	0.188281958501562
ME41	Elp4	ENSMUSG00000027167	0.02370643646635	-0.0300352682118712	0.0774481411445711	0.758403578194261	0.791319206633746	0.458527839688716
ME62	Creb3l1	ENSMUSG00000027230	0.318278354425706	0.356204922377072	0.280351786474339	0.0403650657277494	0.116591818697841	0.177571946869046
ME28	Usp8	ENSMUSG00000027363	-0.0182579495214554	-0.0867537875151729	0.0502378884722621	0.756368100777226	0.318732553007766	0.528583306832426
ME21	Slc6a17	ENSMUSG00000027894	0.0737707896946631	0.166146639524227	-0.0186050601349006	0.396031706012363	0.196166621441455	0.87392525151054
