"ensembl_gene_id","logFC_PFC_F_FENT","logFC_PFC_FENT","logFC_PFC_M_FENT","module.PFC","Motif","name","P.Value_PFC_F_FENT","P.Value_PFC_FENT","P.Value_PFC_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000046719","-0.316368476637387","-0.316358959878793","-0.316349443120198","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Nxph3","0.14467417862299","0.0264128293656036","0.079393036224811","Regulator","false","Nxph3"
"ENSMUSG00000041216","-0.0436705969933593","-0.0990942269717703","-0.154517856950181","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Clvs1","0.677190146155032","0.148907277962899","0.0789306910631644","Regulated","false","Clvs1"
"ENSMUSG00000026185","-0.117014414030638","-0.153150971769041","-0.189287529507445","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Igfbp5","0.488509053786788","0.165138329069551","0.178452597741079","Regulated","false","Igfbp5"
"ENSMUSG00000040907","0.0209348994696317","-0.0145237885793721","-0.0499824766283758","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Atp1a3","0.86691579421755","0.857872311093687","0.629279565851559","Regulated","false","Atp1a3"
"ENSMUSG00000034686","-0.172852908552076","-0.205314398000102","-0.237775887448128","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Prr7","0.340536836751024","0.0838882108588883","0.115764906078595","Regulated","false","Prr7"
"ENSMUSG00000053166","0.0263266834761753","-0.0105252845531574","-0.04737725258249","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Cdh22","0.821182797765612","0.889279667820905","0.623565100947775","Regulated","false","Cdh22"
"ENSMUSG00000102252","-0.0736838616893003","-0.101719431282709","-0.129755000876118","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Snrpn","0.310543398500164","0.0336126686281538","0.0336085113164411","Regulated","false","Snrpn"
"ENSMUSG00000055003","-0.0210432857108911","-0.143254842065813","-0.265466398420735","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Lrtm2","0.862535149960329","0.073230996158739","0.0103138084530263","Regulated","false","Lrtm2"
"ENSMUSG00000040972","0.100177037335972","-0.0398998025828767","-0.179976642501726","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Igsf21","0.632020714777319","0.768764874153512","0.300537788839557","Regulated","false","Igsf21"
"ENSMUSG00000045518","-0.369956446416924","-0.363540444282278","-0.357124442147633","21","yetfasco-1915|yetfasco-1848|encode-UW.Motif.0165|hdpi-NXPH3|encode-UW.Motif.0452|tfdimers-MD00443","Onecut3","0.175710183470573","0.0423767795104815","0.115447540842202","Regulated","false","Onecut3"
