"ensembl_gene_id","logFC_PFC_F_FENT","logFC_PFC_FENT","logFC_PFC_M_FENT","module.PFC","Motif","name","P.Value_PFC_F_FENT","P.Value_PFC_FENT","P.Value_PFC_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000042258","0.179470466118679","-0.663001198992528","-1.50547286410374","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Isl1","0.840003047220564","0.253147101970036","0.0443630850871969","Regulator","false","Isl1"
"ENSMUSG00000067860","-0.0119015341350824","-0.408544461811749","-0.805187389488416","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Zic3","0.976421077890443","0.121841687478995","0.0183627116308857","Regulated","false","Zic3"
"ENSMUSG00000075304","0.0598331878095415","-0.0907717483435779","-0.241376684496697","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Sp5","0.915339792053362","0.803843019945328","0.604925893183579","Regulated","false","Sp5"
"ENSMUSG00000063626","0.0206343624761942","-0.18659801032949","-0.393830383135175","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Unc5d","0.940880268001369","0.303708330930853","0.0912480894605552","Regulated","false","Unc5d"
"ENSMUSG00000029755","-0.273650035545488","-0.136580436542808","4.89162459872045E-4","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Dlx5","0.611532672888732","0.69605355586248","0.999124277335003","Regulated","false","Dlx5"
"ENSMUSG00000009900","-0.247891892154015","-0.0997630827408216","0.0483657266723716","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Wnt3a","0.387467405010604","0.591405619371596","0.83817232737232","Regulated","false","Wnt3a"
"ENSMUSG00000006270","0.372893342545375","-0.14271769500325","-0.658328732551875","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Vax1","0.619557431808615","0.769595165906956","0.291600993261623","Regulated","false","Vax1"
"ENSMUSG00000029831","-0.359756927969568","-2.33108462519625","-4.30241232242293","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Npvf","0.818825130311798","0.0251862284861919","0.00152764970659282","Regulated","false","Npvf"
"ENSMUSG00000027230","0.125213736823846","-0.0907850935581676","-0.306783923940181","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Creb3l1","0.594483358436501","0.552252913356896","0.118576569368604","Regulated","false","Creb3l1"
"ENSMUSG00000044783","-0.110739270680547","-0.0892555285023282","-0.0677717863241094","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Hjurp","0.236426350690425","0.142830452022667","0.380290308557851","Regulated","false","Hjurp"
"ENSMUSG00000023391","-0.017950705559652","-0.422167748777262","-0.826384791994871","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Dlx2","0.979632532308754","0.356755192879269","0.159298024918757","Regulated","false","Dlx2"
"ENSMUSG00000043441","-0.0271275412998642","-0.174531112306312","-0.32193468331276","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Gpr149","0.920598623801633","0.325169957934787","0.156628151093427","Regulated","false","Gpr149"
"ENSMUSG00000051243","-0.16451667874207","-0.307112765648762","-0.449708852555453","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Islr2","0.653518075298936","0.199521172305243","0.14169243350978","Regulated","false","Islr2"
"ENSMUSG00000112117","-0.0733820031536139","-0.279993585392458","-0.486605167631303","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Rmst","0.707033402714462","0.0302610929476476","0.00367519169753354","Regulated","false","Rmst"
"ENSMUSG00000075478","-0.112194160253147","-0.133158717671122","-0.154123275089096","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Slitrk1","0.373581975425272","0.10646873382238","0.142219381283599","Regulated","false","Slitrk1"
"ENSMUSG00000092201","-0.220292644651245","-0.30353705055255","-0.386781456453854","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","A530058N18Rik","0.430466133223637","0.0972530134245025","0.0975963060958809","Regulated","false","A530058N18Rik"
"ENSMUSG00000032033","-0.122210459301414","-0.504497306887605","-0.886784154473795","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Barx2","0.717513575034582","0.0242798252002031","0.00230174249752697","Regulator","false","Barx2"
"ENSMUSG00000039488","0.131748294852213","-0.104091014851861","-0.339930324555936","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Cntn5","0.458797979286369","0.367790949622231","0.023590410654163","Regulated","false","Cntn5"
"ENSMUSG00000024553","-0.103399696928865","-0.419186785473392","-0.734973874017919","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Galr1","0.810460510201553","0.137763851278376","0.0430066359345242","Regulated","false","Galr1"
"ENSMUSG00000083674","0.209247873746415","-0.271317539201544","-0.751882952149504","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Zfp133-ps","0.539716105601171","0.222801201866982","0.00959555937610259","Regulated","false","Zfp133-ps"
"ENSMUSG00000022324","-0.0119440504451145","-0.008896534901631","-0.00584901935814752","34","tfdimers-MD00255|tfdimers-MD00281|transfac_pro-M01442|taipale-TAATYTAATTA-PRRX1-full|transfac_pro-M01469|transfac_pro-M01481|tfdimers-MD00225","Matn2","0.965629033991193","0.960567400561316","0.979669822547861","Regulated","false","Matn2"
