"ensembl_gene_id","logFC_PFC_F_FENT","logFC_PFC_FENT","logFC_PFC_M_FENT","Motif","name","P.Value_PFC_F_FENT","P.Value_PFC_FENT","P.Value_PFC_M_FENT","Regulatory function","selected","shared name"
"ENSMUSG00000041515","0.601907106273698","0.532428788578966","0.462950470884233","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Irf8","0.0477532875272466","0.00779090918722986","0.0653626746019616","Regulator","false","Irf8"
"ENSMUSG00000020027","-0.06323358730394","0.0676573058187122","0.198548198941364","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460|yetfasco-2168","Socs2","0.847539121123636","0.751400549865694","0.466923228031039","Regulated","false","Socs2"
"ENSMUSG00000030341","-0.0859856354578716","0.21241541502758","0.510816465513031","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460","Tnfrsf1a","0.750884440228321","0.229650806922517","0.0256938350595351","Regulated","false","Tnfrsf1a"
"ENSMUSG00000053113","0.489700166442036","0.489246181338225","0.488792196234414","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460","Socs3","0.187199121662496","0.0444322472483614","0.113062364702973","Regulated","false","Socs3"
"ENSMUSG00000021408","0.37787266849535","0.278879355172345","0.17988604184934","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Ripk1","0.076067616624934","0.0445239960667059","0.303515941253139","Regulated","false","Ripk1"
"ENSMUSG00000051367","0.100698869513886","0.348213635842804","0.595728402171723","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|yetfasco-2168","Six1","0.824512852977892","0.240181546580994","0.116863856186514","Regulated","false","Six1"
"ENSMUSG00000090394","0.390273112833585","0.428322897189204","0.466372681544824","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00497|transfac_public-M00460|yetfasco-2168","4930523C07Rik","0.280075729419367","0.0703270731617772","0.121002647788793","Regulated","false","4930523C07Rik"
"ENSMUSG00000026648","0.322264691081837","0.265852774405066","0.209440857728295","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063","Dclre1c","0.215942680507571","0.117281844924391","0.330280630116011","Regulated","false","Dclre1c"
"ENSMUSG00000019846","0.375276160902769","0.543037491827832","0.710798822752895","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460","Lama4","0.245558997374403","0.0113112663641859","0.00944376852484635","Regulated","false","Lama4"
"ENSMUSG00000057123","0.191847964964405","0.298588547977677","0.405329130990949","transfac_pro-M01595|transfac_pro-M01823|stark-TTCCSGGAA|transfac_pro-M02740|tfdimers-MD00063|transfac_public-M00460|yetfasco-2168","Gja5","0.55047159495035","0.15521275530629","0.130807004569549","Regulated","false","Gja5"
