ModuleEigengene	mgi_symbol	ensembl_gene_id	logFC_PFC_FENT	logFC_PFC_F_FENT	logFC_PFC_M_FENT	P.Value_PFC_FENT	P.Value_PFC_F_FENT	P.Value_PFC_M_FENT
ME16	Slc22a3	ENSMUSG00000023828	0.922721498391436	0.897988619796003	0.94745437698687	0.00239241067441623	0.0496128315994206	0.0132434551067697
ME20	Ccdc91	ENSMUSG00000030301	-0.198784095232857	-0.152920432203826	-0.244647758261887	0.000667252632189383	0.0779792722096077	0.000989503560401233
ME21	Atp6v0e2	ENSMUSG00000039347	-0.178482458517991	-0.154104360624473	-0.20286055641151	0.00137888731407366	0.0648104300497272	0.0040418990212495
ME26	Baiap3	ENSMUSG00000047507	-0.326857055407587	-0.174457451290638	-0.479256659524537	0.138989688193439	0.605258774957715	0.0899305604618364
ME29	Gaa	ENSMUSG00000025579	-0.16452580004596	-0.0769392529982156	-0.252112347093703	0.198775545450381	0.694615021603495	0.123797944236875
ME30	Cd2ap	ENSMUSG00000061665	0.208845952490222	0.232607859912146	0.185084045068298	0.022561168118462	0.0956590422090523	0.109039823553682
ME31	Rnd1	ENSMUSG00000054855	-0.183628670628408	-0.153198720853991	-0.214058620402826	0.13220244244175	0.411709166976445	0.168217735021333
ME34	Plagl1	ENSMUSG00000019817	-0.400853967835841	-0.185682088915558	-0.616025846756123	0.0618317147746094	0.56923901122445	0.0253893885606412
ME37	Tmem183a	ENSMUSG00000042305	-0.150958060902078	-0.126995646447268	-0.174920475356888	0.00633417011282161	0.12749950242356	0.0126622176463712
ME4	Apod	ENSMUSG00000022548	0.659188682352938	0.240305688275115	1.07807167643076	0.0101008096526529	0.531869508930611	0.00118325981613015
ME45	Crhbp	ENSMUSG00000021680	-0.349223580563864	-0.145703326288726	-0.552743834839003	0.209901144204544	0.732575755089976	0.121067945020276
ME55	Gm57009	ENSMUSG00000120261	-0.631894648538941	-0.940700654516251	-0.32308864256163	0.00336276174477361	0.00450386070100393	0.225543876823953
ME62	Sec14l5	ENSMUSG00000091712	0.369708738910411	0.340877738498222	0.3985397393226	0.073507188498914	0.279911412878674	0.128958096573164
ME7	Camkv	ENSMUSG00000032936	-0.527688981834724	-0.25003941076653	-0.805338552902917	0.0441025592782583	0.529382965253672	0.0167825132499932
ME75	Ankrd13a	ENSMUSG00000041870	0.302992187999396	0.364784839807064	0.241199536191727	0.00620698738021013	0.0304031898891044	0.0817126917694859
ME77	Gm13552	ENSMUSG00000081157	-0.294376956429935	-0.350819502382109	-0.237934410477761	0.0213803488545924	0.0724725767976498	0.139503066786508
ME9	Slc13a4	ENSMUSG00000029843	1.0164620742214	0.863867976654277	1.16905617178852	0.0524840140165094	0.27937722188761	0.0795103370128432
