ModuleEigengene	mgi_symbol	ensembl_gene_id	logFC_PFC_FENT	logFC_PFC_F_FENT	logFC_PFC_M_FENT	P.Value_PFC_FENT	P.Value_PFC_F_FENT	P.Value_PFC_M_FENT
ME32	Ppm1j	ENSMUSG00000002228	-0.277083716640817	-0.619869094497032	0.0657016612153973	0.208878702552054	0.0700115149698133	0.814121700516752
ME1	Ndufa11	ENSMUSG00000002379	-0.0635822437296287	-0.245418660428554	0.118254172969297	0.436205037029548	0.0541733333472446	0.257627618634361
ME66	Psap	ENSMUSG00000004207	-0.0341019748129368	-0.0105279020110611	-0.0576760476148124	0.664049424469203	0.930582853740805	0.564936946444472
ME25	Snap47	ENSMUSG00000009894	-0.0118206973081127	0.0273555678009032	-0.0509969624171287	0.866571949214514	0.800751354919076	0.570345587431441
ME56	Bcas1	ENSMUSG00000013523	-0.268899686952885	-0.224076642224638	-0.313722731681132	0.151504835165163	0.435008906684397	0.18896550150844
ME10	Hspa8	ENSMUSG00000015656	-0.00518608036432067	-0.0328794194402775	0.0225072587116362	0.940465748701666	0.758641059075412	0.79946743771729
ME18	Wsb1	ENSMUSG00000017677	0.359835541901262	0.542362162057722	0.177308921744803	0.0454883634642946	0.0501799162012479	0.433135814465303
ME16	Slc22a3	ENSMUSG00000023828	0.922721498391436	0.897988619796003	0.94745437698687	0.00239241067441623	0.0496128315994206	0.0132434551067697
ME40	Ddx5	ENSMUSG00000020719	0.0930380521344505	0.117204330022957	0.0688717742459435	0.183490624508108	0.275528831584181	0.4379197701748
ME20	Ccdc91	ENSMUSG00000030301	-0.198784095232857	-0.152920432203826	-0.244647758261887	0.000667252632189383	0.0779792722096077	0.000989503560401233
ME59	Ank	ENSMUSG00000022265	-0.12201854520204	-0.129809600108446	-0.114227490295634	0.0940093804895069	0.244551490038446	0.216573877373338
ME21	Atp6v0e2	ENSMUSG00000039347	-0.178482458517991	-0.154104360624473	-0.20286055641151	0.00137888731407366	0.0648104300497272	0.0040418990212495
ME46	Grm2	ENSMUSG00000023192	-0.188173702835904	0.0079767370575361	-0.384324142729344	0.454190400909967	0.983528735936345	0.232485247862244
ME26	Baiap3	ENSMUSG00000047507	-0.326857055407587	-0.174457451290638	-0.479256659524537	0.138989688193439	0.605258774957715	0.0899305604618364
ME74	Hnrnpll	ENSMUSG00000024095	-0.142037644957793	-0.235084633617084	-0.0489906562985025	0.0944917427399469	0.0729043843998461	0.647571498216617
ME29	Gaa	ENSMUSG00000025579	-0.16452580004596	-0.0769392529982156	-0.252112347093703	0.198775545450381	0.694615021603495	0.123797944236875
ME17	Inpp4a	ENSMUSG00000026113	-0.0108743059909746	0.09317269099349	-0.114921302975439	0.84214803921845	0.270373702188651	0.102750438084392
ME64	Kif5c	ENSMUSG00000026764	-0.0432320343180335	-0.00949674984595994	-0.076967318790107	0.365248391689555	0.896919032781032	0.207822588662595
ME48	Marchf7	ENSMUSG00000026977	0.106541078744244	0.352591933242111	-0.139509775753623	0.20387994439357	0.00766909103112964	0.192292198454233
ME69	Invs	ENSMUSG00000028344	-0.0427261623013588	-0.124340091386455	0.0388877667837377	0.678725738662577	0.434765074897936	0.767497927642128
ME36	Kcnab2	ENSMUSG00000028931	0.0124902805260474	0.0141995483909341	0.0107810126611607	0.917832213053303	0.939308875430307	0.944344625452102
ME41	H6pd	ENSMUSG00000028980	0.150038597079187	0.157924741215716	0.142152452942657	0.216006645539244	0.396272181286706	0.356737497257504
ME3	Ncor2	ENSMUSG00000029478	0.0717637129080932	0.129639170818626	0.0138882549975605	0.366681863646119	0.290392438649952	0.890700749282977
ME47	Cux1	ENSMUSG00000029705	0.034138003638847	0.0415691558972959	0.0267068513803981	0.578917330386224	0.660727848436093	0.733375274626629
ME30	Cd2ap	ENSMUSG00000061665	0.208845952490222	0.232607859912146	0.185084045068298	0.022561168118462	0.0956590422090523	0.109039823553682
ME31	Rnd1	ENSMUSG00000054855	-0.183628670628408	-0.153198720853991	-0.214058620402826	0.13220244244175	0.411709166976445	0.168217735021333
ME42	Rab11fip1	ENSMUSG00000031488	-0.0883442703555766	-0.241376510593222	0.064687969882069	0.5445132726094	0.284027680666979	0.727670268844695
ME28	Chrna6	ENSMUSG00000031491	-0.118796791431828	-0.269699002309614	0.0321054194459585	0.726682784799038	0.606664205957419	0.94093640408864
ME78	Hoatz	ENSMUSG00000032057	-0.0569894420487629	-0.21578258810296	0.101803704005434	0.837537017248042	0.614575970904795	0.774035101075013
ME34	Plagl1	ENSMUSG00000019817	-0.400853967835841	-0.185682088915558	-0.616025846756123	0.0618317147746094	0.56923901122445	0.0253893885606412
ME37	Tmem183a	ENSMUSG00000042305	-0.150958060902078	-0.126995646447268	-0.174920475356888	0.00633417011282161	0.12749950242356	0.0126622176463712
ME76	Rgl3	ENSMUSG00000040146	0.296462005842982	0.30083953488957	0.292084476796394	0.225732333203556	0.423224563481572	0.348237855993516
