ModuleEigengene	mgi_symbol	ensembl_gene_id	logFC_AMY_FENT	logFC_AMY_F_FENT	logFC_AMY_M_FENT	P.Value_AMY_FENT	P.Value_AMY_F_FENT	P.Value_AMY_M_FENT
ME76	Smpd2	ENSMUSG00000019822	-0.299124205	-0.372945701	-0.225302709	0.030277088	0.05507696	0.241877014
ME53	Trappc6b	ENSMUSG00000020993	-0.185711549	-0.284905717	-0.086517381	0.012359511	0.00689849	0.398752736
ME24	Srek1ip1	ENSMUSG00000021716	-0.14694556	-0.120228	-0.17366312	0.16110596	0.41494327	0.24039719
ME19	Stk32b	ENSMUSG00000029123	0.520025534	0.596571231	0.443479838	0.001868281	0.01054158	0.054292939
ME43	D5Ertd579e	ENSMUSG00000029190	-0.122749711	-0.078968306	-0.166531115	0.078884158	0.419283457	0.091521086
ME5	Aldoa	ENSMUSG00000030695	0.137404167	0.100045869	0.174762466	0.038794513	0.28101315	0.062222875
ME59	Tmem132c	ENSMUSG00000034324	0.317821623	0.466857619	0.168785627	0.007421961	0.005528221	0.30209025
ME1	Ino80d	ENSMUSG00000040865	-0.287544796	-0.069106239	-0.505983353	0.010367412	0.654431769	0.001666001
ME18	Vstm2a	ENSMUSG00000048834	0.270244315	0.186954305	0.353534326	0.000623657	0.082315855	0.001441879
ME12	Myh4	ENSMUSG00000057003	-1.427643097	-1.215358145	-1.63992805	0.00018272	0.019415328	0.001946763
