CommonGenes	Sets
Diaph3	UP_DA_UP_INPUT_MF
Slc30a1	UP_DA_UP_INPUT_MF
Rflna	UP_DA_UP_INPUT_MF
Ciart	UP_DA_UP_INPUT_MF
H2-T23	UP_DA_UP_INPUT_MF
Selenoh	UP_DA_UP_INPUT_MF
2310068J16Rik	UP_DA_UP_INPUT_MF
As3mt	UP_DA_DOWN_INPUT_MF
Igf1r	UP_DA_DOWN_INPUT_MF
Zfpl1	UP_DA_DOWN_INPUT_MF
Hspa12a	UP_DA_DOWN_INPUT_MF
Dhtkd1	UP_DA_DOWN_INPUT_MF
Aff2	UP_DA_DOWN_INPUT_MF
Pank1	UP_DA_DOWN_INPUT_MF
Synpo	UP_DA_DOWN_INPUT_MF
Sqor	UP_DA_UP_INPUT_M
Diaph3	UP_DA_UP_INPUT_M
Tmem176a	UP_DA_UP_INPUT_M
Crlf2	UP_DA_UP_INPUT_M
Ndnf	UP_DA_UP_INPUT_M
Selenoh	UP_DA_UP_INPUT_M
Lima1	UP_DA_UP_INPUT_F
Ttf2	UP_DA_UP_INPUT_F
Mrpl47	UP_DA_UP_INPUT_F
Ciart	UP_DA_UP_INPUT_F
H2-T23	UP_DA_UP_INPUT_F
Wdr90	UP_DA_UP_INPUT_F
2310068J16Rik	UP_DA_UP_INPUT_F
Pcdha1	UP_DA_UP_INPUT_F
Atxn7l3	UP_DA_DOWN_INPUT_M
Gm47814	UP_DA_DOWN_INPUT_M
As3mt	UP_DA_DOWN_INPUT_F
Adcyap1	UP_DA_DOWN_INPUT_F
Dhtkd1	UP_DA_DOWN_INPUT_F
Ubfd1	UP_DA_DOWN_INPUT_F
Aff2	UP_DA_DOWN_INPUT_F
5730405O15Rik	UP_DA_DOWN_INPUT_F
Dancr	UP_DA_DOWN_INPUT_F
Sgk1	DOWN_DA_UP_INPUT_MF
Timp3	DOWN_DA_UP_INPUT_MF
Igf1	DOWN_DA_UP_INPUT_MF
Med31	DOWN_DA_UP_INPUT_MF
Pabpc1	DOWN_DA_UP_INPUT_MF
Cryzl2	DOWN_DA_UP_INPUT_MF
F13a1	DOWN_DA_UP_INPUT_MF
Shisa6	DOWN_DA_UP_INPUT_MF
Rpl10-ps3	DOWN_DA_UP_INPUT_MF
Tnfrsf11b	DOWN_DA_UP_INPUT_MF
Slc25a30	DOWN_DA_DOWN_INPUT_MF
Zfp518b	DOWN_DA_DOWN_INPUT_MF
Nkapl	DOWN_DA_DOWN_INPUT_MF
Mettl5os	DOWN_DA_DOWN_INPUT_MF
0610040F04Rik	DOWN_DA_DOWN_INPUT_MF
Mov10	DOWN_DA_UP_INPUT_M
Sgk1	DOWN_DA_UP_INPUT_M
Med31	DOWN_DA_UP_INPUT_M
Cir1	DOWN_DA_UP_INPUT_M
6330408M09Rik	DOWN_DA_UP_INPUT_M
Pdzd2	DOWN_DA_UP_INPUT_F
Grik1	DOWN_DA_UP_INPUT_F
Vasp	DOWN_DA_UP_INPUT_F
Cryzl2	DOWN_DA_UP_INPUT_F
Abi3bp	DOWN_DA_UP_INPUT_F
Shisa6	DOWN_DA_UP_INPUT_F
Nrbp2	DOWN_DA_UP_INPUT_F
Gm13091	DOWN_DA_UP_INPUT_F
2610020C07Rik	DOWN_DA_UP_INPUT_F
Kif19a	DOWN_DA_DOWN_INPUT_M
Slc25a30	DOWN_DA_DOWN_INPUT_M
Mettl5os	DOWN_DA_DOWN_INPUT_M
0610040F04Rik	DOWN_DA_DOWN_INPUT_M
Shc2	DOWN_DA_DOWN_INPUT_F
Fmnl3	DOWN_DA_DOWN_INPUT_F
Ccdc51	DOWN_DA_DOWN_INPUT_F
Ccnl1	DOWN_DA_DOWN_INPUT_F
Doc2a	DOWN_DA_DOWN_INPUT_F
Zfp846	DOWN_DA_DOWN_INPUT_F
Sgk1	UP_INPUT_MF_UP_INPUT_M
Med31	UP_INPUT_MF_UP_INPUT_M
Diaph3	UP_INPUT_MF_UP_INPUT_M
Selenoh	UP_INPUT_MF_UP_INPUT_M
Cryzl2	UP_INPUT_MF_UP_INPUT_F
Ciart	UP_INPUT_MF_UP_INPUT_F
Shisa6	UP_INPUT_MF_UP_INPUT_F
H2-T23	UP_INPUT_MF_UP_INPUT_F
2310068J16Rik	UP_INPUT_MF_UP_INPUT_F
Slc25a30	DOWN_INPUT_MF_DOWN_INPUT_M
Mettl5os	DOWN_INPUT_MF_DOWN_INPUT_M
0610040F04Rik	DOWN_INPUT_MF_DOWN_INPUT_M
As3mt	DOWN_INPUT_MF_DOWN_INPUT_F
Dhtkd1	DOWN_INPUT_MF_DOWN_INPUT_F
Aff2	DOWN_INPUT_MF_DOWN_INPUT_F
