"INPUT.MM0.ensembl_gene_id"	"INPUT.MM0.kME"	"INPUT.MM0.mgi_symbol"	"INPUT.MM1.ensembl_gene_id"	"INPUT.MM1.kME"	"INPUT.MM1.mgi_symbol"	"INPUT.MM2.ensembl_gene_id"	"INPUT.MM2.kME"	"INPUT.MM2.mgi_symbol"	"INPUT.MM3.ensembl_gene_id"	"INPUT.MM3.kME"	"INPUT.MM3.mgi_symbol"	"INPUT.MM4.ensembl_gene_id"	"INPUT.MM4.kME"	"INPUT.MM4.mgi_symbol"	"INPUT.MM5.ensembl_gene_id"	"INPUT.MM5.kME"	"INPUT.MM5.mgi_symbol"	"INPUT.MM6.ensembl_gene_id"	"INPUT.MM6.kME"	"INPUT.MM6.mgi_symbol"	"INPUT.MM7.ensembl_gene_id"	"INPUT.MM7.kME"	"INPUT.MM7.mgi_symbol"	"INPUT.MM8.ensembl_gene_id"	"INPUT.MM8.kME"	"INPUT.MM8.mgi_symbol"	"INPUT.MM9.ensembl_gene_id"	"INPUT.MM9.kME"	"INPUT.MM9.mgi_symbol"	"INPUT.MM10.ensembl_gene_id"	"INPUT.MM10.kME"	"INPUT.MM10.mgi_symbol"	"INPUT.MM11.ensembl_gene_id"	"INPUT.MM11.kME"	"INPUT.MM11.mgi_symbol"	"INPUT.MM12.ensembl_gene_id"	"INPUT.MM12.kME"	"INPUT.MM12.mgi_symbol"	"INPUT.MM13.ensembl_gene_id"	"INPUT.MM13.kME"	"INPUT.MM13.mgi_symbol"	"INPUT.MM14.ensembl_gene_id"	"INPUT.MM14.kME"	"INPUT.MM14.mgi_symbol"	"INPUT.MM15.ensembl_gene_id"	"INPUT.MM15.kME"	"INPUT.MM15.mgi_symbol"	"INPUT.MM16.ensembl_gene_id"	"INPUT.MM16.kME"	"INPUT.MM16.mgi_symbol"	"INPUT.MM17.ensembl_gene_id"	"INPUT.MM17.kME"	"INPUT.MM17.mgi_symbol"	"INPUT.MM18.ensembl_gene_id"	"INPUT.MM18.kME"	"INPUT.MM18.mgi_symbol"	"INPUT.MM19.ensembl_gene_id"	"INPUT.MM19.kME"	"INPUT.MM19.mgi_symbol"	"INPUT.MM20.ensembl_gene_id"	"INPUT.MM20.kME"	"INPUT.MM20.mgi_symbol"	"INPUT.MM21.ensembl_gene_id"	"INPUT.MM21.kME"	"INPUT.MM21.mgi_symbol"	"INPUT.MM22.ensembl_gene_id"	"INPUT.MM22.kME"	"INPUT.MM22.mgi_symbol"	"INPUT.MM23.ensembl_gene_id"	"INPUT.MM23.kME"	"INPUT.MM23.mgi_symbol"	"INPUT.MM24.ensembl_gene_id"	"INPUT.MM24.kME"	"INPUT.MM24.mgi_symbol"
"ENSMUSG00000005609"	0.688633412837031	"Ctr9"	"ENSMUSG00000029314"	0.993581357007696	"Gpat3"	"ENSMUSG00000019986"	0.970861103410809	"Ahi1"	"ENSMUSG00000019907"	0.952900858572051	"Ppp1r12a"	"ENSMUSG00000001089"	0.967129791987658	"Luzp1"	"ENSMUSG00000004267"	0.936018847584429	"Eno2"	"ENSMUSG00000003617"	0.960699586726657	"Cp"	"ENSMUSG00000022257"	0.938078025646969	"Laptm4b"	"ENSMUSG00000019803"	0.884873645602173	"Nr2e1"	"ENSMUSG00000007892"	0.935858338720491	"Rplp1"	"ENSMUSG00000022035"	0.854517958308068	"Ccdc25"	"ENSMUSG00000002012"	0.947170351137317	"Pnck"	"ENSMUSG00000009900"	0.971731494299467	"Wnt3a"	"ENSMUSG00000000214"	0.909565828507363	"Th"	"ENSMUSG00000021190"	0.889338563011633	"Lgmn"	"ENSMUSG00000000489"	0.931122025202227	"Pdgfb"	"ENSMUSG00000018405"	0.936477228239927	"Mrm1"	"ENSMUSG00000024112"	0.887028928652408	"Cacna1h"	"ENSMUSG00000071470"	0.935911781346567	"Ccnb1ip1"	"ENSMUSG00000004872"	0.845439780672418	"Pax3"	"ENSMUSG00000021379"	0.865852837066985	"Id4"	"ENSMUSG00000003153"	0.827648676751705	"Slc2a3"	"ENSMUSG00000006782"	0.931853064822875	"Cnp"	"ENSMUSG00000000120"	0.824604720608443	"Ngfr"	"ENSMUSG00000020964"	0.812756539450959	"Sel1l"
"ENSMUSG00000019961"	0.697348061549867	"Tmpo"	"ENSMUSG00000029862"	0.992230269102632	"Clcn1"	"ENSMUSG00000020176"	0.958644498714502	"Grb10"	"ENSMUSG00000020936"	0.934643003760466	"Nmt1"	"ENSMUSG00000017400"	0.973831962725079	"Stac2"	"ENSMUSG00000015501"	0.923066415377583	"Hivep2"	"ENSMUSG00000020695"	0.964614066143149	"Mrc2"	"ENSMUSG00000024187"	0.921461683145071	"Fam234a"	"ENSMUSG00000032594"	0.885835967415265	"Ip6k1"	"ENSMUSG00000039001"	0.953150266669978	"Rps21"	"ENSMUSG00000022973"	0.867124838915521	"Synj1"	"ENSMUSG00000020235"	0.896243437672687	"Fzr1"	"ENSMUSG00000024665"	0.951078746481614	"Fads2"	"ENSMUSG00000020902"	0.892664135377967	"Ntn1"	"ENSMUSG00000025937"	0.878871947943751	"Lactb2"	"ENSMUSG00000022960"	0.921782990259367	"Donson"	"ENSMUSG00000024513"	0.946000561862176	"Mbd2"	"ENSMUSG00000025128"	0.893290839987329	"Bhlhe22"	"ENSMUSG00000092674"	0.927323660715409	"Gm24105"	"ENSMUSG00000021721"	0.848591106598354	"Htr1a"	"ENSMUSG00000021665"	0.857247226751894	"Hexb"	"ENSMUSG00000005338"	0.900509404946783	"Cadm3"	"ENSMUSG00000015806"	0.864538770337556	"Qdpr"	"ENSMUSG00000006519"	0.816684299388196	"Cyba"	"ENSMUSG00000021991"	0.831020038436555	"Cacna2d3"
"ENSMUSG00000024078"	0.702192153688729	"Ttc27"	"ENSMUSG00000030452"	0.992882744790181	"Nipa2"	"ENSMUSG00000022577"	0.961137495677382	"Ly6h"	"ENSMUSG00000025266"	0.937831578736288	"Gnl3l"	"ENSMUSG00000017781"	0.96584745784786	"Pitpna"	"ENSMUSG00000020745"	0.951652443165586	"Pafah1b1"	"ENSMUSG00000024610"	0.967089466762689	"Cd74"	"ENSMUSG00000026519"	0.907090958298852	"Tmem63a"	"ENSMUSG00000036377"	0.863608623046379	"Cracd"	"ENSMUSG00000040952"	0.930257601266962	"Rps19"	"ENSMUSG00000024044"	0.864110980871358	"Epb41l3"	"ENSMUSG00000035033"	0.943235805792749	"Tbr1"	"ENSMUSG00000039000"	0.944601945090355	"Ube3c"	"ENSMUSG00000021609"	0.917234285842756	"Slc6a3"	"ENSMUSG00000064351"	0.94307060430357	"mt-Co1"	"ENSMUSG00000024290"	0.91706262861714	"Rock1"	"ENSMUSG00000036928"	0.936072530465109	"Stag3"	"ENSMUSG00000031995"	0.907572589615115	"St14"	"ENSMUSG00000092837"	0.954663324980818	"Rpph1"	"ENSMUSG00000028072"	0.906607474521543	"Ntrk1"	"ENSMUSG00000024621"	0.810601091512581	"Csf1r"	"ENSMUSG00000008153"	0.83486544447429	"Clstn3"	"ENSMUSG00000020486"	0.882426432292898	"Septin4"	"ENSMUSG00000018927"	0.814221600191749	"Ccl6"	"ENSMUSG00000022848"	0.868321340214959	"Slc49a4"
"ENSMUSG00000024350"	0.689980855139247	"Dnajc18"	"ENSMUSG00000031075"	0.995952255251582	"Ano1"	"ENSMUSG00000024423"	0.968786327693155	"Impact"	"ENSMUSG00000033499"	0.93448772788441	"Larp4b"	"ENSMUSG00000027273"	0.980664140733711	"Snap25"	"ENSMUSG00000026797"	0.941950632749675	"Stxbp1"	"ENSMUSG00000029287"	0.956738476968519	"Tgfbr3"	"ENSMUSG00000031425"	0.931779057013367	"Plp1"	"ENSMUSG00000051435"	0.86291724889129	"Fhad1"	"ENSMUSG00000055093"	0.940180997879144	"Rps27a-ps3"	"ENSMUSG00000024065"	0.886558507278553	"Ehd3"	"ENSMUSG00000035451"	0.93029056402815	"Foxa1"	"ENSMUSG00000050328"	0.944897371104631	"Hoxc12"	"ENSMUSG00000023064"	0.928026768952963	"Sncg"	"ENSMUSG00000064354"	0.938726542289761	"mt-Co2"	"ENSMUSG00000025762"	0.955912807784866	"Larp1b"	"ENSMUSG00000047141"	0.934210108911038	"Zfp654"	"ENSMUSG00000063765"	0.880092078832816	"Chadl"	"ENSMUSG00000118841"	0.950915211659603	"Rn7s2"	"ENSMUSG00000033007"	0.86972728928298	"Asic4"	"ENSMUSG00000036896"	0.840030507066056	"C1qc"	"ENSMUSG00000020598"	0.886197561579437	"Nrcam"	"ENSMUSG00000024176"	0.869761302370704	"Sox8"	"ENSMUSG00000025351"	0.829867656128254	"Cd63"	"ENSMUSG00000023328"	0.887019796817105	"Ache"
"ENSMUSG00000035561"	0.747477673794343	"Aldh1b1"	"ENSMUSG00000055067"	0.992093526219571	"Smyd3"	"ENSMUSG00000032890"	0.976191210120707	"Rims3"	"ENSMUSG00000037236"	0.968397851303672	"Matr3"	"ENSMUSG00000028931"	0.965215295458403	"Kcnab2"	"ENSMUSG00000030695"	0.928136775499148	"Aldoa"	"ENSMUSG00000029661"	0.959325728540385	"Col1a2"	"ENSMUSG00000036634"	0.952510848840732	"Mag"	"ENSMUSG00000051726"	0.894196891326649	"Kcnf1"	"ENSMUSG00000058838"	0.943007734681473	"Rps27a-ps2"	"ENSMUSG00000024587"	0.855649448402931	"Nars1"	"ENSMUSG00000045797"	0.897425190904838	"4930402K13Rik"	"ENSMUSG00000051154"	0.940663057760724	"Commd3"	"ENSMUSG00000030110"	0.913464215445462	"Ret"	"ENSMUSG00000064357"	0.882982760216033	"mt-Atp6"	"ENSMUSG00000041498"	0.911071306985312	"Kif14"	"ENSMUSG00000060475"	0.932945841087601	"Wtap"	"ENSMUSG00000069495"	0.865061323298149	"Epc2"	"ENSMUSG00000118866"	0.951108149805738	"Rn7s1"	"ENSMUSG00000035594"	0.94616414415025	"Chrna5"	"ENSMUSG00000036905"	0.900497236590021	"C1qb"	"ENSMUSG00000026959"	0.880004516454538	"Grin1"	"ENSMUSG00000027674"	0.821545899955643	"Pex5l"	"ENSMUSG00000031722"	0.813613590631296	"Hp"	"ENSMUSG00000025203"	0.832891896159256	"Scd2"
"ENSMUSG00000040365"	0.734619897052083	"Trim41"	"ENSMUSG00000085708"	0.991497410841419	"Gm16063"	"ENSMUSG00000034993"	0.952603123944977	"Vat1"	"ENSMUSG00000040389"	0.932206021115086	"Wdr47"	"ENSMUSG00000029674"	0.976326531062195	"Limk1"	"ENSMUSG00000033392"	0.922616114990576	"Clasp2"	"ENSMUSG00000030717"	0.963228853903775	"Nupr1"	"ENSMUSG00000046324"	0.921173332919843	"Ermp1"	"ENSMUSG00000056342"	0.896397180037979	"Usp34"	"ENSMUSG00000066315"	0.91919640733097	"Gm12918"	"ENSMUSG00000026623"	0.857872626480452	"Lpgat1"	"ENSMUSG00000104138"	0.907864088832914	"Gm36949"	"ENSMUSG00000074480"	0.96078490326073	"Mex3a"	"ENSMUSG00000031491"	0.910834044556843	"Chrna6"	"ENSMUSG00000064363"	0.897070683711091	"mt-Nd4"	"ENSMUSG00000045409"	0.911800658427684	"Trim39"	"ENSMUSG00000091243"	0.942986607054556	"Vgll3"	"ENSMUSG00000074213"	0.878187077449201	"Gm10642"	"ENSMUSG00002074933"	0.888732560688313	"Gm55532"	"ENSMUSG00000036381"	0.862471010654716	"P2ry14"	"ENSMUSG00000038642"	0.932578393795373	"Ctss"	"ENSMUSG00000030207"	0.832433608051454	"Fam234b"	"ENSMUSG00000031714"	0.869324393180842	"Gab1"	"ENSMUSG00000036446"	0.844815334223368	"Lum"	"ENSMUSG00000028822"	0.859909706215568	"Tmem50a"
"ENSMUSG00000041438"	0.838741864433788	"Utp4"	"ENSMUSG00000086324"	0.995381422498286	"Gm15564"	"ENSMUSG00000035640"	0.952657139743696	"Cbarp"	"ENSMUSG00000050627"	0.931440725191974	"Gpd1l"	"ENSMUSG00000031543"	0.972899044807213	"Ank1"	"ENSMUSG00000034593"	0.937805118911521	"Myo5a"	"ENSMUSG00000031375"	0.959951562752409	"Bgn"	"ENSMUSG00000053024"	0.913417349753289	"Cntn2"	"ENSMUSG00000061578"	0.878651850262263	"Ksr2"	"ENSMUSG00000066543"	0.930403253523524	"Rpl17-ps9"	"ENSMUSG00000029777"	0.880337870886167	"Gars1"	"ENSMUSG00000107155"	0.918913963113313	"Gm43793"	"ENSMUSG00000090110"	0.929214967530096	"Cmc4"	"ENSMUSG00000031492"	0.906963139185997	"Chrnb3"	"ENSMUSG00000094841"	0.894601964622312	"Gm10610"	"ENSMUSG00000057816"	0.923734977522547	"Cfap299"	"ENSMUSG00000097182"	0.910080360611887	"A830009L08Rik"	"ENSMUSG00000102925"	0.867666002692931	"Gm37150"	"ENSMUSG00002075625"	0.902771896682276	"Gm54521"	"ENSMUSG00000041481"	0.855154800151606	"Serpina3g"	"ENSMUSG00000052160"	0.80344828051939	"Pld4"	"ENSMUSG00000032328"	0.893940394826233	"Tmem30a"	"ENSMUSG00000035441"	0.845306443087481	"Myo1d"	"ENSMUSG00000042821"	0.807493837122755	"Snai1"	"ENSMUSG00000029156"	0.8237040539006	"Sgcb"
"ENSMUSG00000046818"	0.695852290722664	"Ddit4l"	"ENSMUSG00000106178"	0.994476441874471	"Gm42987"	"ENSMUSG00000046093"	0.961604194235993	"Hpcal4"	"ENSMUSG00000059714"	0.938814064380509	"Flot1"	"ENSMUSG00000037996"	0.981175480889016	"Slc24a2"	"ENSMUSG00000046709"	0.957098131952722	"Mapk10"	"ENSMUSG00000062980"	0.959651403188157	"Cped1"	"ENSMUSG00000057134"	0.952529330401481	"Ado"	"ENSMUSG00000072623"	0.870639781838302	"Zfp9"	"ENSMUSG00000074129"	0.962667270446635	"Rpl13a"	"ENSMUSG00000033526"	0.864318522408766	"Ppip5k1"	"ENSMUSG00000108455"	0.900743857641052	"Gm44745"	"ENSMUSG00002075551"	0.944200406886814	"Gm55276"	"ENSMUSG00000032259"	0.895469766594772	"Drd2"	"ENSMUSG00000100131"	0.920558249414236	"Gm28439"	"ENSMUSG00000075585"	0.92533846514012	"6330403L08Rik"	"ENSMUSG00000098340"	0.887997219469713	"Gm27253"	"ENSMUSG00000103926"	0.870875900946258	"Gm37894"	"ENSMUSG00002076161"	0.915440842061172	"Rn7sk"	"ENSMUSG00000051251"	0.853628703944764	"Nhlh1"	"ENSMUSG00000075701"	0.88504180107651	"Selenos"	"ENSMUSG00000035964"	0.849477789895889	"Tmem59l"	"ENSMUSG00000048537"	0.932630240320339	"Phldb1"	"ENSMUSG00000048572"	0.816621219530567	"Tmem252"	"ENSMUSG00000030428"	0.870126714756207	"Ttyh1"
"ENSMUSG00000053740"	0.688420632283296	"Gm6457"	"ENSMUSG00000112650"	0.99263393859986	"Gm5184"	"ENSMUSG00000047507"	0.953562595664654	"Baiap3"	"ENSMUSG00000063358"	0.956676175221016	"Mapk1"	"ENSMUSG00000041235"	0.960070710045611	"Chd7"	"ENSMUSG00000047126"	0.951107883895236	"Cltc"	"ENSMUSG00000069516"	0.960269186560177	"Lyz2"	"ENSMUSG00000076439"	0.913868293928181	"Mog"	"ENSMUSG00000072825"	0.857916510093945	"Cep170b"	"ENSMUSG00000089989"	0.960355710281383	"Gm45713"	"ENSMUSG00000040111"	0.855073828028423	"Gramd1b"	"ENSMUSG00000120023"	0.914141870210274	"Gm57100"	"ENSMUSG00002075637"	0.958213671734652	"Gm55073"	"ENSMUSG00000048988"	0.895795907489802	"Elfn1"	"ENSMUSG00000100862"	0.900373624658844	"Atp6-ps"	"ENSMUSG00000087563"	0.960507082902935	"Gm14205"	"ENSMUSG00000105530"	0.8936587353017	"Gm43829"	"ENSMUSG00000104212"	0.934764871614402	"Gm37986"	"ENSMUSG00002076348"	0.901406296695652	"Gm55604"	"ENSMUSG00000053930"	0.92186334138057	"Shisa6"	"ENSMUSG00000082609"	0.813351159860408	"Gm15464"	"ENSMUSG00000052914"	0.817943223162412	"Cyp2j6"	"ENSMUSG00000060012"	0.851565343401553	"Kif13b"	"ENSMUSG00000061863"	0.849695317173157	"Gm6822"	"ENSMUSG00000032340"	0.868881209055013	"Neo1"
"ENSMUSG00000059273"	0.721361709289416	"Zc3h4"	"ENSMUSG00000121095"	0.993570959327702	"Gm30455"	"ENSMUSG00000066705"	0.964766567167661	"Fxyd6"	"ENSMUSG00000117694"	0.93251429718492	"Snhg4"	"ENSMUSG00000053025"	0.963630142117281	"Sv2b"	"ENSMUSG00000052459"	0.935500709030145	"Atp6v1a"	"ENSMUSG00000115302"	0.960111608736708	"Gm49394"	"ENSMUSG00000090213"	0.912624467545633	"Peds1"	"ENSMUSG00000078952"	0.863183812930972	"Lncenc1"	"ENSMUSG00000113948"	0.943796960029842	"Rpl17-ps3"	"ENSMUSG00000041268"	0.856664800934851	"Dmxl2"	"ENSMUSG00000121236"	0.92056034058396	"Gm57463"	"ENSMUSG00002075795"	0.9428013051654	"Gm54867"	"ENSMUSG00000051111"	0.922668614590976	"Sv2c"	"ENSMUSG00000102070"	0.938832512484651	"Gm28661"	"ENSMUSG00000098771"	0.968337442466748	"Mir6538"	"ENSMUSG00002076923"	0.891568263211401	"Gm54686"	"ENSMUSG00000117557"	0.910611640106373	"Gm50070"	"ENSMUSG00002076809"	0.888243448819782	"Gm54754"	"ENSMUSG00000070576"	0.921713911190015	"Mn1"	"ENSMUSG00000108596"	0.876540823361038	"Gm49368"	"ENSMUSG00000058254"	0.84629128112988	"Tspan7"	"ENSMUSG00000060716"	0.841589596519932	"Plekhh1"	"ENSMUSG00000098915"	0.839391693230624	"Rpl15-ps2"	"ENSMUSG00000034488"	0.833206807892211	"Edil3"
