ensembl_gene_id	mgi_symbol	gene_biotype	description	PFC.P.Value_PFC_FENT	PFC.logFC_PFC_FENT	AMY.P.Value_AMY_FENT	AMY.logFC_AMY_FENT	INPUT.P.Value_INPUT_FENT	INPUT.logFC_INPUT_FENT	NAC.P.Value_NAC_FENT	NAC.logFC_NAC_FENT	cell_type	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
ENSMUSG00000000142	Axin2	protein_coding	axin 2 [Source:MGI Symbol;Acc:MGI:1270862]	0.407921968107496	-0.0742820513686007	0.0068377761461041	-0.251855525426433	0.288589114020175	-0.0860794209092459	0.512761096051224	0.0586886683426733	11	1.51844848466939	0.045275287358786	1	pseudobulk	edgeR	LRT
ENSMUSG00000000184	Ccnd2	protein_coding	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]	0.624906480575058	-0.0641250039606138	0.067674308047844	-0.244875626271537	0.67835137407352	-0.0490478389176814	0.741436193361716	0.0432525419443355	11	1.07118588970196	0.0317195824734874	1	pseudobulk	edgeR	LRT
ENSMUSG00000000266	Mid2	protein_coding	midline 2 [Source:MGI Symbol;Acc:MGI:1344333]	0.0640459249249973	-0.133476786965157	0.724804865521218	0.0252317770951631	0.0972385694183936	-0.107503323353825	0.413036351341287	0.0583116906861894	11	0.675209153274137	0.045249340541944	1	pseudobulk	edgeR	LRT
ENSMUSG00000000305	Cdh4	protein_coding	cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]	0.456703335382915	-0.135624085861054	0.929224824423797	0.016283773064762	0.766175895198026	0.0487808105100149	0.469735868544765	0.13171121326085	11	1.0900431911986	0.000361413354989161	0.467431109411902	pseudobulk	edgeR	LRT
ENSMUSG00000000420	Galnt1	protein_coding	polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]	0.451387937312665	0.0432262593036938	0.158321208047665	0.0821506560600964	0.365839012654594	0.0468660915553269	0.937698009382549	0.00447575721946025	11	0.613088316833773	0.0478600912636767	1	pseudobulk	edgeR	LRT
ENSMUSG00000000489	Pdgfb	protein_coding	platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]	0.176066989928229	0.249573359861014	0.120332380880601	0.289677384935726	0.244255389634992	0.193347980777231	0.686318748799107	0.0739723289223515	11	-3.04304670488624	0.00362162585489985	1	pseudobulk	edgeR	LRT
ENSMUSG00000000739	Sult5a1	protein_coding	sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]	0.556661259232993	0.118527692850857	0.139278307549911	0.30299848790516	0.0413376916255679	-0.377125046615471	0.257909950432826	0.229033173173092	11	-3.6667389212971	0.04386322934912	1	pseudobulk	edgeR	LRT
ENSMUSG00000000766	Oprm1	protein_coding	opioid receptor, mu 1 [Source:MGI Symbol;Acc:MGI:97441]	0.00470960569256752	-0.322197678970265	0.0775798679660052	-0.198700788596268	0.431184834995001	-0.0784306712138068	0.133920482968539	0.166714080553968	11	0.772728091499504	0.0180614325448407	1	pseudobulk	edgeR	LRT
ENSMUSG00000000881	Dlg3	protein_coding	discs large MAGUK scaffold protein 3 [Source:MGI Symbol;Acc:MGI:1888986]	0.731161169779935	-0.0271714819473501	0.286759499946077	-0.0853212634626712	0.777378498681845	-0.0201646632726309	0.934524087578118	0.00649395493994209	11	1.07938500976242	0.0392575588054936	1	pseudobulk	edgeR	LRT
ENSMUSG00000000959	Oxa1l	protein_coding	oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]	0.919729746117534	-0.00561682199693125	0.285060261359449	0.0603753307357113	0.60342096922605	0.0261449557748095	0.90551718447861	0.00661576836450406	11	1.57631853469145	0.00269290652554236	1	pseudobulk	edgeR	LRT
ENSMUSG00000001119	Col6a1	protein_coding	collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]	0.0018393429459849	0.986902872277897	0.245223970028451	-0.358188814913579	0.5783769554202	0.152549008899098	0.771216793965383	-0.0884072448452708	11	-1.28064512103494	0.0484119874287983	1	pseudobulk	edgeR	LRT
ENSMUSG00000001175	Calm1	protein_coding	calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251]	0.0508901814542876	-0.144341888659564	0.461524615246829	0.0541392261019347	0.803699732503266	-0.0163129080003825	0.35382641597633	0.0676922187726579	11	0.723554802320292	0.0222796489523927	1	pseudobulk	edgeR	LRT
ENSMUSG00000001211	Agpat3	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1336186]	0.737133543623119	-0.0234361123096152	0.394721548232706	0.0600819238090349	0.629644914887839	-0.0303852443676127	0.472617244377903	-0.0502341675374658	11	0.729353033874449	0.0402363319896591	1	pseudobulk	edgeR	LRT
ENSMUSG00000001260	Gabrg1	protein_coding	gamma-aminobutyric acid type A receptor subunit gamma 1 [Source:MGI Symbol;Acc:MGI:103156]	0.320555396620044	0.131577015842256	0.594677717393931	0.0708625194369765	0.114301610374612	0.189884538569025	0.0960417631463386	0.222140704924584	11	1.58942866716916	0.00188239956897775	1	pseudobulk	edgeR	LRT
ENSMUSG00000001349	Cnn1	protein_coding	calponin 1 [Source:MGI Symbol;Acc:MGI:104979]	0.0542151344623125	-0.859304345483339	0.134100394366022	-0.670167889040166	0.559293708956184	0.231742464341883	0.293942248518509	-0.463303604994205	11	-3.60668060948188	0.0466038587796927	1	pseudobulk	edgeR	LRT
ENSMUSG00000001416	Cct3	protein_coding	chaperonin containing TCP1 subunit 3 [Source:MGI Symbol;Acc:MGI:104708]	0.597710997330675	0.0408275029361969	0.190058095063881	0.102866427583509	0.381127355625427	-0.0612460142506683	0.924603904916323	0.00731360663699343	11	1.24022871791735	0.0172313845375172	1	pseudobulk	edgeR	LRT
ENSMUSG00000001672	Marveld3	protein_coding	MARVEL (membrane-associating) domain containing 3 [Source:MGI Symbol;Acc:MGI:1920858]	0.549886810978889	0.154956607688953	0.130290894585798	0.398652056273519	0.628197325452663	0.11313899023419	0.838152122642998	0.0528638080230477	11	4.03498512854873	0.0448953581559919	1	pseudobulk	edgeR	LRT
ENSMUSG00000001741	Il16	protein_coding	interleukin 16 [Source:MGI Symbol;Acc:MGI:1270855]	0.872447387694512	0.0521771845488345	0.0744837000749811	-0.592435428785216	0.698988702857988	0.113409385688989	0.996917130168177	-0.00125556068205968	11	4.7362125808786	0.0124500809480693	1	pseudobulk	edgeR	LRT
ENSMUSG00000001930	Vwf	protein_coding	Von Willebrand factor [Source:MGI Symbol;Acc:MGI:98941]	0.000119277935346274	1.14374725495454	0.705517022326622	-0.106334757089117	0.177149751195095	0.34209841976374	0.465121267468797	0.204159652600763	11	-4.51845228485656	0.00623562788859956	1	pseudobulk	edgeR	LRT
ENSMUSG00000001942	Siae	protein_coding	sialic acid acetylesterase [Source:MGI Symbol;Acc:MGI:104803]	0.875786761441219	-0.0178647492233113	0.557260545506863	0.0677354802835752	0.463315277085239	-0.0757672079922673	0.0778171148477246	-0.204204565312045	11	-1.70763033179031	0.0167910816326561	1	pseudobulk	edgeR	LRT
ENSMUSG00000001962	Fam50a	protein_coding	family with sequence similarity 50, member A [Source:MGI Symbol;Acc:MGI:1351626]	0.0253834438032046	0.253529450933753	0.979519224973476	0.00287421161394952	0.941735851926988	0.00731924295707298	0.087287086188653	0.192206897434346	11	-1.35543666266069	0.026622215934447	1	pseudobulk	edgeR	LRT
ENSMUSG00000001985	Grik3	protein_coding	glutamate receptor, ionotropic, kainate 3 [Source:MGI Symbol;Acc:MGI:95816]	0.446399434568102	0.0565258363860801	0.634646926993207	0.0355212842743708	0.999057956081814	-7.88636795312492e-05	0.317380453854026	0.0743576892781337	11	2.20824688701518	4.39255383283053e-07	0.00443334993810517	pseudobulk	edgeR	LRT
ENSMUSG00000001988	Npas1	protein_coding	neuronal PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109205]	0.919877518375617	-0.0213313002376836	0.0303365887242072	0.472453115186887	0.187555831917951	-0.253925613907525	0.136774649538668	-0.318496832026508	11	-3.60668060948188	0.0466038587796927	1	pseudobulk	edgeR	LRT
ENSMUSG00000002064	Sdf2	protein_coding	stromal cell derived factor 2 [Source:MGI Symbol;Acc:MGI:108019]	0.679654689899852	0.0409818273602778	0.655415290893885	0.0446675926663576	0.800957048119123	0.0225577793680416	0.434937698272687	0.0776319054757511	11	-0.925157922189356	0.0297230109540228	1	pseudobulk	edgeR	LRT
ENSMUSG00000002076	Hsf2bp	protein_coding	heat shock transcription factor 2 binding protein [Source:MGI Symbol;Acc:MGI:1921627]	0.0469134332884767	0.488852616942775	0.103466545322986	0.401732471474831	0.262000516454487	0.246065292750692	0.843756202950292	0.0476885102865675	11	-3.6667389212971	0.04386322934912	1	pseudobulk	edgeR	LRT
ENSMUSG00000002459	Rgs20	protein_coding	regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]	0.0351159037367223	-0.205425754825029	0.660544722015767	0.0424048108912491	0.726362291991183	-0.0302159277259291	0.638376461368733	-0.0450052406774775	11	0.924060561004689	0.0150594008564587	1	pseudobulk	edgeR	LRT
ENSMUSG00000002910	Arrdc2	protein_coding	arrestin domain containing 2 [Source:MGI Symbol;Acc:MGI:1918057]	0.00601768677372869	0.568711141589338	0.675989766024321	-0.0845578289421038	0.480654110662925	0.127796699202901	0.697594526600587	0.077949602106081	11	-3.60668060948188	0.0466038587796927	1	pseudobulk	edgeR	LRT
ENSMUSG00000003184	Irf3	protein_coding	interferon regulatory factor 3 [Source:MGI Symbol;Acc:MGI:1859179]	0.215409418325575	-0.160912078326958	0.139823004769113	0.193926299579913	0.88268977953328	-0.0171774687008155	0.0700834853762344	-0.23703477323631	11	-1.24094728517148	0.0298777909180231	1	pseudobulk	edgeR	LRT
ENSMUSG00000003199	Mpnd	protein_coding	MPN domain containing [Source:MGI Symbol;Acc:MGI:1915297]	0.123005145163589	-0.0842831602682499	0.805832117430128	0.0134137595891057	0.264762452294749	0.0547057399111233	0.955972477575265	0.00298680724059963	11	1.27016321787138	0.0304358989445236	1	pseudobulk	edgeR	LRT
ENSMUSG00000003429	Rps11	protein_coding	ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]	0.425222222383786	-0.0878409328954253	0.322398710813389	-0.110087702921786	0.58946210731139	0.053538935486424	0.669974559895975	-0.0468581786861564	11	1.04132320090323	0.0435173318424722	1	pseudobulk	edgeR	LRT
ENSMUSG00000003617	Cp	protein_coding	ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]	0.0430796296813735	0.534810204889554	0.727239449328787	-0.0914350697307846	0.0113414770720006	0.60980863876342	0.855005889143463	-0.0474839201730726	11	-3.6667389212971	0.04386322934912	1	pseudobulk	edgeR	LRT
ENSMUSG00000003680	Taf6l	protein_coding	TATA-box binding protein associated factor 6 like [Source:MGI Symbol;Acc:MGI:2444957]	0.0936385437999515	-0.240525607584794	0.019953286709837	0.340471112289547	0.419068027780651	-0.103610304469233	0.951356848204627	0.00864836913841227	11	3.21320503818312	0.00193899776307554	1	pseudobulk	edgeR	LRT
ENSMUSG00000003929	Zfp81	protein_coding	zinc finger protein 81 [Source:MGI Symbol;Acc:MGI:1890752]	0.732913217144968	0.0365634627390867	0.0842530433450352	-0.188831125083813	0.748787308728079	-0.0309466783949999	0.713266123501767	0.0393759198910364	11	1.61432156209635	0.0209443895042442	1	pseudobulk	edgeR	LRT
ENSMUSG00000004035	Gstm7	protein_coding	glutathione S-transferase, mu 7 [Source:MGI Symbol;Acc:MGI:1915562]	0.786973688384016	-0.0411616551076233	0.872722509781166	-0.0246018548012679	0.607160977160353	0.0706900264579404	0.123418728768862	0.236951950199905	11	4.47645872666359	0.0193904147803837	1	pseudobulk	edgeR	LRT
ENSMUSG00000004085	Map3k20	protein_coding	mitogen-activated protein kinase kinase kinase 20 [Source:MGI Symbol;Acc:MGI:2443258]	0.296899315108022	-0.0840148986787583	0.978059276209401	-0.00222353789867569	0.309348706209423	-0.073835921807631	0.298230282375622	0.0837816343042279	11	-1.85553804759428	0.00945520499506501	1	pseudobulk	edgeR	LRT
ENSMUSG00000004151	Etv1	protein_coding	ets variant 1 [Source:MGI Symbol;Acc:MGI:99254]	0.346721449194348	-0.148696972873031	0.00314941792130058	-0.486605021789094	0.844676540596412	-0.0278248951239681	0.502042419672004	-0.105884252899968	11	6.79671155328931	3.66924435251022e-06	0.0257617645989742	pseudobulk	edgeR	LRT
ENSMUSG00000004233	Wars2	protein_coding	tryptophanyl tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:1917810]	0.385383340394947	0.103049527257201	0.305605435368197	-0.122805281615973	0.164128051498177	-0.14973261982422	0.857522613666698	-0.0212483317357097	11	1.96976301524829	0.00575169248727543	1	pseudobulk	edgeR	LRT
ENSMUSG00000004366	Sst	protein_coding	somatostatin [Source:MGI Symbol;Acc:MGI:98326]	0.195437764230142	0.228746468317849	0.0145035704894606	0.443631422817275	0.0032758755289596	0.482844504471921	0.124132194042018	0.272476505148183	11	1.98904891670772	0.00694037542988359	1	pseudobulk	edgeR	LRT
ENSMUSG00000004451	Ralb	protein_coding	v-ral simian leukemia viral oncogene B [Source:MGI Symbol;Acc:MGI:1927244]	0.661384304595954	0.0382097266945247	0.268902747320306	0.0976870695743846	0.396162684265975	0.0669131092774955	0.875404295511625	0.0136687778669762	11	1.43277542579062	0.0281733268855674	1	pseudobulk	edgeR	LRT
ENSMUSG00000004880	Lbr	protein_coding	lamin B receptor [Source:MGI Symbol;Acc:MGI:2138281]	0.37216381848973	0.0732543787055417	0.13136503994	-0.125676102020951	0.61920205823389	-0.0367101036665767	0.375492092850797	-0.0727424927770404	11	1.4580675074739	0.0246239878766254	1	pseudobulk	edgeR	LRT
ENSMUSG00000005103	Wdr1	protein_coding	WD repeat domain 1 [Source:MGI Symbol;Acc:MGI:1337100]	0.591390951736628	-0.0389600399220305	0.721031354808876	0.0261162323719542	0.17484061395333	-0.0894051594213252	0.225489387894489	0.0884069561784169	11	1.38124391097623	0.00863511528413212	1	pseudobulk	edgeR	LRT
ENSMUSG00000005125	Ndrg1	protein_coding	N-myc downstream regulated gene 1 [Source:MGI Symbol;Acc:MGI:1341799]	0.658980308840376	-0.0495813509140635	0.296377258173266	0.118756534162029	0.7927357408376	0.0266125195437272	0.875544705634831	-0.0175831515806308	11	1.1720352289267	0.0415080432572791	1	pseudobulk	edgeR	LRT
ENSMUSG00000005610	Eif4g2	protein_coding	eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]	0.769213471420459	0.0148649243029908	0.761749035488123	0.0154904709290999	0.74886359813708	-0.0146304957899757	0.898006634954016	-0.00649215400620129	11	0.977143776617057	0.0182429335567345	1	pseudobulk	edgeR	LRT
ENSMUSG00000005667	Mthfd2	protein_coding	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase [Source:MGI Symbol;Acc:MGI:1338850]	0.679418433170105	0.0416594731170954	0.0194044154646813	0.243063327581289	0.329840472230461	-0.0888940797903106	0.213797933229894	0.12605507975659	11	-1.61846672114855	0.0127735214203117	1	pseudobulk	edgeR	LRT
ENSMUSG00000006356	Crip2	protein_coding	cysteine rich protein 2 [Source:MGI Symbol;Acc:MGI:1915587]	0.665580288292485	-0.0478748221542937	0.319480406303054	-0.11157874626571	0.939678015902748	-0.00755462073702962	0.421510218164336	0.0892061262723352	11	4.4424939961998	0.0221993968032214	1	pseudobulk	edgeR	LRT
ENSMUSG00000006403	Adamts4	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif 4 [Source:MGI Symbol;Acc:MGI:1339949]	0.97273625841147	-0.00600863015417064	0.328863289622997	0.17381033916432	0.288954624574592	-0.168959291944649	0.062893302920786	-0.331836072066733	11	-4.13735739892583	0.0163134071483685	1	pseudobulk	edgeR	LRT
ENSMUSG00000006519	Cyba	protein_coding	cytochrome b-245, alpha polypeptide [Source:MGI Symbol;Acc:MGI:1316658]	0.163205522326635	0.359036171083514	0.995249852474387	-0.0015332072409498	0.00845052410003072	0.624835011747083	0.284614317138096	0.274583603850286	11	-3.60668060948188	0.0466038587796927	1	pseudobulk	edgeR	LRT
